Average of length [children] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,0.350850851,0.708470847,0.648912228
2,0.45112782,1.603325654,1.411420938
3,0.482115869,2.552769915,2.206702029
4,0.491956409,3.518216534,3.016184573
5,0.488840501,4.488407367,3.824523358
6,0.478234943,5.457649144,4.634293039
7,0.455425017,6.416293279,5.43747163
8,0.429654591,7.380529491,6.227393431
9,0.404787813,8.335238514,7.002377469
10,0.390205371,9.284565419,7.828246249
11,0.357320099,10.22733548,8.683229814
12,0.325490196,11.18845873,9.482758621
13,0.281690141,12.10673443,10.2992465
Grand Total,0.442608961,4.550833112,3.8708063
