Average of length [children] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,0.7675,0.503250325,0.547295608
2,1.414121182,1.129972943,1.177354709
3,1.989873418,1.804137235,1.835002103
4,2.502863092,2.505732879,2.505257714
5,2.974822113,3.214976633,3.175190424
6,3.380401704,3.934268394,3.843774861
7,3.739346591,4.65255635,4.504491018
8,4.073402418,5.360398379,5.149957639
9,4.418933624,6.089954038,5.810131195
10,4.577099237,6.790583919,6.421293938
11,4.843678161,7.508667883,7.067377236
12,4.762452107,8.182471264,7.64246824
13,5.122699387,8.931456548,8.297959184
Grand Total,2.769343601,3.290992932,3.204766331
