Average of [step],Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,120.0245245,119.6674335,119.726909
2,239.7536304,238.4848697,238.6964181
3,356.9279234,352.3176899,353.0881981
4,458.6041558,455.2669013,455.8214779
5,553.2502714,546.4775403,547.6102234
6,624.2244284,621.2048926,621.7046405
7,693.2266212,680.9496323,683.0236393
8,736.5378723,732.2352941,732.9448421
9,773.4073661,771.4302684,771.7557883
10,817.0427481,805.310937,807.2445898
11,846.0848214,829.294964,832.1100299
12,859.9622642,850.1396491,851.6798817
13,869.1866667,865.9767442,866.4746639
Grand Total,498.879966,495.1643331,495.7820168
