Average of length [children] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,0.849,0.31452581,0.403634545
2,1.661830915,0.621716463,0.795372922
3,2.453125,0.926881068,1.181940701
4,3.221820062,1.237947445,1.568706897
5,4.002712968,1.548974695,1.959676687
6,4.74970344,1.861406231,2.345324456
7,5.463150778,2.154855643,2.716104611
8,6.146841674,2.447106462,3.078225581
9,6.78778135,2.745409763,3.443971106
10,7.453435115,3.031425016,3.780046524
11,8.092511013,3.314392175,4.14840446
12,8.578595318,3.591806876,4.486794718
13,9.016216216,3.772014475,4.728796844
14,9.356435644,4.021413276,4.970070423
Grand Total,4.003517977,1.564315503,1.97546635
