Average of [score] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,1.026,-0.012,0.507
2,3.27,-0.114,1.578
3,5.026,-0.16,2.433
4,6.618,-0.202,3.208
5,8.426,-0.226,4.1
6,10.046,-0.314,4.866
7,11.364,-0.318,5.523
8,12.334,-0.304,6.015
9,13.33,-0.37,6.48
10,14.226,-0.39,6.918
11,15.062,-0.354,7.354
12,15.908,-0.342,7.783
13,16.742,-0.292,8.225
14,17.358,-0.218,8.57
15,17.94,-0.19238477,8.882882883
16,18.49498998,-0.15060241,9.181544634
17,18.9939759,-0.154618474,9.419678715
18,19.44758065,-0.161616162,9.652875883
19,19.74846626,-0.196721311,9.786079836
20,20.00210084,-0.178197065,9.901364113
21,20.28884026,-0.147505423,10.02614379
22,20.46759259,-0.116591928,10.01138952
23,20.61282051,-0.142857143,9.937733499
24,20.77871148,-0.142857143,10.21636616
25,20.87459807,-0.082781457,10.5497553
Grand Total,14.44040319,-0.215476091,7.101400654
