"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"experiment"
"06/09/2015 13:25:11:557 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"1","50","false","0","{breed random-profiles}","1","-1","-1"
"1","50","false","1","{breed attack-profiles}","1","0","0"
"1","50","false","2","{breed random-profiles}","1","1","1"
"1","50","false","3","{breed random-profiles}","2","-3","-4"
"1","50","false","4","{breed random-profiles}","3","1","-3"
"1","50","false","5","{breed random-profiles}","4","1","-2"
"1","50","false","6","{breed attack-profiles}","1","3","3"
"1","50","false","7","{breed attack-profiles}","2","3","3"
"1","50","false","8","{breed attack-profiles}","3","0","3"
"1","50","false","9","{breed random-profiles}","5","-1","-3"
"1","50","false","10","{breed attack-profiles}","2","1.5","4.5"
"1","50","false","11","{breed attack-profiles}","3","0","4.5"
"1","50","false","12","{breed attack-profiles}","4","1.5","4.5"
"1","50","false","13","{breed random-profiles}","6","3","0"
"1","50","false","14","{breed random-profiles}","7","1","1"
"1","50","false","15","{breed attack-profiles}","4","1","5.5"
"1","50","false","16","{breed random-profiles}","2","1","2"
"1","50","false","17","{breed attack-profiles}","5","1","6.5"
"1","50","false","18","{breed attack-profiles}","5","2","6.5"
"1","50","false","19","{breed random-profiles}","8","1","2"
"1","50","false","20","{breed random-profiles}","3","-3","-1"
"1","50","false","21","{breed random-profiles}","9","-5","-3"
"1","50","false","22","{breed attack-profiles}","6","3.5","10"
"1","50","false","23","{breed attack-profiles}","7","0","10"
"1","50","false","24","{breed random-profiles}","10","-1","-4"
"1","50","false","25","{breed random-profiles}","4","-1","-2"
"1","50","false","26","{breed random-profiles}","11","0","-4"
"1","50","false","27","{breed random-profiles}","5","-1","-3"
"1","50","false","28","{breed random-profiles}","12","0","-4"
"1","50","false","29","{breed random-profiles}","6","-1","-4"
"1","50","false","30","{breed attack-profiles}","6","10.5","17"
"1","50","false","31","{breed random-profiles}","13","-1","-5"
"1","50","false","32","{breed random-profiles}","14","0","-5"
"1","50","false","33","{breed random-profiles}","7","1","-3"
"1","50","false","34","{breed attack-profiles}","8","6.5","16.5"
"1","50","false","35","{breed attack-profiles}","7","1.5","18.5"
"1","50","false","36","{breed attack-profiles}","8","0","18.5"
"1","50","false","37","{breed random-profiles}","8","-1","-4"
"1","50","false","38","{breed attack-profiles}","9","1.5","20"
"1","50","false","39","{breed attack-profiles}","10","0","20"
"1","50","false","40","{breed attack-profiles}","11","0","20"
"2","50","false","0","{breed random-profiles}","1","1","1"
"2","50","false","1","{breed random-profiles}","2","1","2"
"2","50","false","2","{breed attack-profiles}","1","1","1"
"2","50","false","3","{breed random-profiles}","1","-1","-1"
"2","50","false","4","{breed attack-profiles}","2","1.5","2.5"
"2","50","false","5","{breed attack-profiles}","1","2.5","2.5"
"2","50","false","6","{breed random-profiles}","2","-1","-2"
"2","50","false","7","{breed attack-profiles}","3","1.5","4"
"2","50","false","8","{breed random-profiles}","3","3","5"
"2","50","false","9","{breed random-profiles}","3","-1","-3"
"2","50","false","10","{breed attack-profiles}","4","2","6"
"2","50","false","11","{breed attack-profiles}","5","0","6"
"2","50","false","12","{breed attack-profiles}","6","0","6"
"2","50","false","13","{breed attack-profiles}","2","1.5","4"
"2","50","false","14","{breed attack-profiles}","7","0","6"
"2","50","false","15","{breed random-profiles}","4","3","8"
"2","50","false","16","{breed random-profiles}","5","-1","7"
"2","50","false","17","{breed attack-profiles}","3","2","6"
"2","50","false","18","{breed random-profiles}","4","1","-2"
"2","50","false","19","{breed attack-profiles}","8","3","9"
"2","50","false","20","{breed attack-profiles}","4","1","7"
"2","50","false","21","{breed random-profiles}","6","-1","6"
"2","50","false","22","{breed random-profiles}","7","-1","5"
"2","50","false","23","{breed attack-profiles}","9","3","12"
"2","50","false","24","{breed random-profiles}","8","-3","2"
"2","50","false","25","{breed attack-profiles}","10","2","14"
"2","50","false","26","{breed attack-profiles}","5","3","10"
"2","50","false","27","{breed random-profiles}","5","3","1"
"2","50","false","28","{breed random-profiles}","6","-1","0"
"2","50","false","29","{breed attack-profiles}","11","2","16"
"2","50","false","30","{breed attack-profiles}","12","0","16"
"2","50","false","31","{breed random-profiles}","9","-3","-1"
"2","50","false","32","{breed random-profiles}","10","-3","-4"
"2","50","false","33","{breed attack-profiles}","13","2","18"
"2","50","false","34","{breed attack-profiles}","6","4","14"
"2","50","false","35","{breed random-profiles}","11","0","-4"
"2","50","false","36","{breed attack-profiles}","14","1","19"
"2","50","false","37","{breed random-profiles}","12","0","-4"
"2","50","false","38","{breed attack-profiles}","7","1","15"
"2","50","false","39","{breed attack-profiles}","8","0","15"
"2","50","false","40","{breed attack-profiles}","9","0","15"
"3","50","false","0","{breed random-profiles}","1","-1","-1"
"3","50","false","1","{breed random-profiles}","2","1","0"
"3","50","false","2","{breed random-profiles}","1","3","3"
"3","50","false","3","{breed attack-profiles}","1","1","1"
"3","50","false","4","{breed attack-profiles}","1","1","1"
"3","50","false","5","{breed attack-profiles}","2","0","1"
"3","50","false","6","{breed attack-profiles}","3","0","1"
"3","50","false","7","{breed random-profiles}","3","-1","-1"
"3","50","false","8","{breed random-profiles}","4","-3","-4"
"3","50","false","9","{breed random-profiles}","2","-3","0"
"3","50","false","10","{breed attack-profiles}","4","3.5","4.5"
"3","50","false","11","{breed attack-profiles}","5","0","4.5"
"3","50","false","12","{breed attack-profiles}","2","3.5","4.5"
"3","50","false","13","{breed random-profiles}","3","3","3"
"3","50","false","14","{breed random-profiles}","4","1","4"
"3","50","false","15","{breed attack-profiles}","3","1","5.5"
"3","50","false","16","{breed attack-profiles}","6","1","5.5"
"3","50","false","17","{breed random-profiles}","5","-5","-1"
"3","50","false","18","{breed attack-profiles}","7","2.5","8"
"3","50","false","19","{breed attack-profiles}","4","2.5","8"
"3","50","false","20","{breed attack-profiles}","5","0","8"
"3","50","false","21","{breed attack-profiles}","8","0","8"
"3","50","false","22","{breed attack-profiles}","6","0","8"
"3","50","false","23","{breed random-profiles}","6","-1","-2"
"3","50","false","24","{breed attack-profiles}","7","1.5","9.5"
"3","50","false","25","{breed attack-profiles}","8","0","9.5"
"3","50","false","26","{breed random-profiles}","7","1","-1"
"3","50","false","27","{breed attack-profiles}","9","1","10.5"
"3","50","false","28","{breed attack-profiles}","10","0","10.5"
"3","50","false","29","{breed random-profiles}","5","3","-1"
"3","50","false","30","{breed attack-profiles}","11","0.5","11"
"3","50","false","31","{breed attack-profiles}","9","3","11"
"3","50","false","32","{breed attack-profiles}","10","0","11"
"3","50","false","33","{breed random-profiles}","6","1","0"
"3","50","false","34","{breed attack-profiles}","11","1","12"
"3","50","false","35","{breed attack-profiles}","12","1","12"
"3","50","false","36","{breed random-profiles}","8","-1","-2"
"3","50","false","37","{breed attack-profiles}","12","1.5","13.5"
"3","50","false","38","{breed random-profiles}","7","-3","-3"
"3","50","false","39","{breed attack-profiles}","13","2","15.5"
"3","50","false","40","{breed random-profiles}","8","1","-2"
"4","50","false","0","{breed attack-profiles}","1","0","0"
"4","50","false","1","{breed attack-profiles}","2","0","0"
"4","50","false","2","{breed attack-profiles}","1","0","0"
"4","50","false","3","{breed random-profiles}","1","1","1"
"4","50","false","4","{breed attack-profiles}","3","1","1"
"4","50","false","5","{breed attack-profiles}","4","0","1"
"4","50","false","6","{breed attack-profiles}","5","0","1"
"4","50","false","7","{breed attack-profiles}","2","1","1"
"4","50","false","8","{breed attack-profiles}","6","0","1"
"4","50","false","9","{breed attack-profiles}","3","0","1"
"4","50","false","10","{breed attack-profiles}","7","0","1"
"4","50","false","11","{breed random-profiles}","1","1","1"
"4","50","false","12","{breed attack-profiles}","4","1","2"
"4","50","false","13","{breed random-profiles}","2","3","4"
"4","50","false","14","{breed attack-profiles}","5","0","2"
"4","50","false","15","{breed attack-profiles}","8","1","2"
"4","50","false","16","{breed random-profiles}","2","1","2"
"4","50","false","17","{breed attack-profiles}","6","1","3"
"4","50","false","18","{breed random-profiles}","3","1","3"
"4","50","false","19","{breed attack-profiles}","9","2","4"
"4","50","false","20","{breed attack-profiles}","10","0","4"
"4","50","false","21","{breed attack-profiles}","11","0","4"
"4","50","false","22","{breed attack-profiles}","12","0","4"
"4","50","false","23","{breed attack-profiles}","13","0","4"
"4","50","false","24","{breed attack-profiles}","14","0","4"
"4","50","false","25","{breed attack-profiles}","7","1","4"
"4","50","false","26","{breed attack-profiles}","8","0","4"
"4","50","false","27","{breed attack-profiles}","15","0","4"
"4","50","false","28","{breed random-profiles}","4","-3","0"
"4","50","false","29","{breed random-profiles}","3","-1","3"
"4","50","false","30","{breed attack-profiles}","9","1.5","5.5"
"4","50","false","31","{breed random-profiles}","4","-1","2"
"4","50","false","32","{breed attack-profiles}","16","3","7"
"4","50","false","33","{breed attack-profiles}","10","1.5","7"
"4","50","false","34","{breed attack-profiles}","17","0","7"
"4","50","false","35","{breed attack-profiles}","11","0","7"
"4","50","false","36","{breed attack-profiles}","18","0","7"
"4","50","false","37","{breed random-profiles}","5","1","1"
"4","50","false","38","{breed attack-profiles}","19","1","8"
"4","50","false","39","{breed random-profiles}","5","-1","1"
"4","50","false","40","{breed attack-profiles}","12","2.5","9.5"
"5","50","false","0","{breed attack-profiles}","1","0","0"
"5","50","false","1","{breed attack-profiles}","1","0","0"
"5","50","false","2","{breed attack-profiles}","2","0","0"
"5","50","false","3","{breed attack-profiles}","2","0","0"
"5","50","false","4","{breed attack-profiles}","3","0","0"
"5","50","false","5","{breed random-profiles}","1","-1","-1"
"5","50","false","6","{breed attack-profiles}","3","1.5","1.5"
"5","50","false","7","{breed random-profiles}","2","-1","-2"
"5","50","false","8","{breed attack-profiles}","4","3","3"
"5","50","false","9","{breed attack-profiles}","4","1.5","3"
"5","50","false","10","{breed random-profiles}","3","3","1"
"5","50","false","11","{breed random-profiles}","1","-3","-3"
"5","50","false","12","{breed random-profiles}","2","1","-2"
"5","50","false","13","{breed random-profiles}","3","-1","-3"
"5","50","false","14","{breed attack-profiles}","5","3","6"
"5","50","false","15","{breed random-profiles}","4","-1","-4"
"5","50","false","16","{breed attack-profiles}","6","1.5","7.5"
"5","50","false","17","{breed random-profiles}","5","1","-3"
"5","50","false","18","{breed attack-profiles}","7","1","8.5"
"5","50","false","19","{breed attack-profiles}","8","0","8.5"
"5","50","false","20","{breed random-profiles}","6","1","-2"
"5","50","false","21","{breed random-profiles}","7","-3","-5"
"5","50","false","22","{breed random-profiles}","8","-1","-6"
"5","50","false","23","{breed attack-profiles}","5","10","13"
"5","50","false","24","{breed attack-profiles}","9","2.5","11"
"5","50","false","25","{breed attack-profiles}","10","0","11"
"5","50","false","26","{breed attack-profiles}","11","0","11"
"5","50","false","27","{breed attack-profiles}","6","0","13"
"5","50","false","28","{breed attack-profiles}","12","0","11"
"5","50","false","29","{breed attack-profiles}","7","0","13"
"5","50","false","30","{breed attack-profiles}","13","0","11"
"5","50","false","31","{breed random-profiles}","4","1","2"
"5","50","false","32","{breed attack-profiles}","8","1","14"
"5","50","false","33","{breed random-profiles}","5","-1","1"
"5","50","false","34","{breed attack-profiles}","9","1.5","15.5"
"5","50","false","35","{breed attack-profiles}","14","2.5","13.5"
"5","50","false","36","{breed random-profiles}","9","3","-3"
"5","50","false","37","{breed random-profiles}","10","-1","-4"
"5","50","false","38","{breed attack-profiles}","10","2","17.5"
"5","50","false","39","{breed attack-profiles}","15","2","15.5"
"5","50","false","40","{breed attack-profiles}","11","0","17.5"
"6","50","false","0","{breed random-profiles}","1","1","1"
"6","50","false","1","{breed attack-profiles}","1","0","0"
"6","50","false","2","{breed random-profiles}","2","-3","-2"
"6","50","false","3","{breed random-profiles}","3","-1","-3"
"6","50","false","4","{breed attack-profiles}","1","1.5","1.5"
"6","50","false","5","{breed attack-profiles}","2","1.5","1.5"
"6","50","false","6","{breed attack-profiles}","3","0","1.5"
"6","50","false","7","{breed attack-profiles}","2","0","1.5"
"6","50","false","8","{breed random-profiles}","4","-1","-4"
"6","50","false","9","{breed attack-profiles}","3","1.5","3"
"6","50","false","10","{breed attack-profiles}","4","0","3"
"6","50","false","11","{breed attack-profiles}","5","0","3"
"6","50","false","12","{breed random-profiles}","1","1","1"
"6","50","false","13","{breed attack-profiles}","6","1","4"
"6","50","false","14","{breed random-profiles}","2","-1","0"
"6","50","false","15","{breed attack-profiles}","4","2","3.5"
"6","50","false","16","{breed random-profiles}","3","-1","-1"
"6","50","false","17","{breed attack-profiles}","7","3","7"
"6","50","false","18","{breed random-profiles}","5","-1","-5"
"6","50","false","19","{breed random-profiles}","6","-3","-8"
"6","50","false","20","{breed random-profiles}","4","-3","-4"
"6","50","false","21","{breed random-profiles}","7","1","-7"
"6","50","false","22","{breed random-profiles}","8","-3","-10"
"6","50","false","23","{breed random-profiles}","5","1","-3"
"6","50","false","24","{breed attack-profiles}","8","7.5","14.5"
"6","50","false","25","{breed attack-profiles}","9","0","14.5"
"6","50","false","26","{breed attack-profiles}","5","9","12.5"
"6","50","false","27","{breed random-profiles}","6","3","0"
"6","50","false","28","{breed random-profiles}","9","-1","-11"
"6","50","false","29","{breed random-profiles}","10","3","-8"
"6","50","false","30","{breed random-profiles}","11","1","-7"
"6","50","false","31","{breed attack-profiles}","10","3","17.5"
"6","50","false","32","{breed attack-profiles}","11","0","17.5"
"6","50","false","33","{breed random-profiles}","7","-1","-1"
"6","50","false","34","{breed random-profiles}","8","-1","-2"
"6","50","false","35","{breed attack-profiles}","12","3","20.5"
"6","50","false","36","{breed random-profiles}","12","1","-6"
"6","50","false","37","{breed attack-profiles}","6","4","16.5"
"6","50","false","38","{breed random-profiles}","9","-1","-3"
"6","50","false","39","{breed attack-profiles}","13","1.5","22"
"6","50","false","40","{breed random-profiles}","10","-1","-4"
"7","50","false","0","{breed random-profiles}","1","3","3"
"7","50","false","1","{breed random-profiles}","2","1","4"
"7","50","false","2","{breed random-profiles}","1","1","1"
"7","50","false","3","{breed attack-profiles}","1","2","2"
"7","50","false","4","{breed attack-profiles}","2","0","2"
"7","50","false","5","{breed attack-profiles}","1","2","2"
"7","50","false","6","{breed random-profiles}","2","-1","0"
"7","50","false","7","{breed attack-profiles}","3","1.5","3.5"
"7","50","false","8","{breed random-profiles}","3","-1","-1"
"7","50","false","9","{breed random-profiles}","4","3","2"
"7","50","false","10","{breed random-profiles}","3","-1","3"
"7","50","false","11","{breed attack-profiles}","4","1.5","5"
"7","50","false","12","{breed attack-profiles}","2","3","5"
"7","50","false","13","{breed attack-profiles}","5","0","5"
"7","50","false","14","{breed attack-profiles}","3","0","5"
"7","50","false","15","{breed attack-profiles}","6","0","5"
"7","50","false","16","{breed attack-profiles}","7","0","5"
"7","50","false","17","{breed random-profiles}","5","-3","-1"
"7","50","false","18","{breed random-profiles}","6","-1","-2"
"7","50","false","19","{breed random-profiles}","7","3","1"
"7","50","false","20","{breed random-profiles}","8","-1","0"
"7","50","false","21","{breed attack-profiles}","4","3.5","8.5"
"7","50","false","22","{breed attack-profiles}","5","0","8.5"
"7","50","false","23","{breed random-profiles}","9","-1","-1"
"7","50","false","24","{breed attack-profiles}","8","5","10"
"7","50","false","25","{breed random-profiles}","4","1","4"
"7","50","false","26","{breed random-profiles}","10","-3","-4"
"7","50","false","27","{breed attack-profiles}","6","2.5","11"
"7","50","false","28","{breed random-profiles}","5","-1","3"
"7","50","false","29","{breed attack-profiles}","7","1.5","12.5"
"7","50","false","30","{breed random-profiles}","6","-3","0"
"7","50","false","31","{breed attack-profiles}","8","2","14.5"
"7","50","false","32","{breed attack-profiles}","9","4.5","14.5"
"7","50","false","33","{breed random-profiles}","7","-1","-1"
"7","50","false","34","{breed attack-profiles}","9","1.5","16"
"7","50","false","35","{breed attack-profiles}","10","0","16"
"7","50","false","36","{breed random-profiles}","8","-1","-2"
"7","50","false","37","{breed attack-profiles}","10","3","17.5"
"7","50","false","38","{breed attack-profiles}","11","0","17.5"
"7","50","false","39","{breed random-profiles}","9","-1","-3"
"7","50","false","40","{breed random-profiles}","10","-1","-4"
"8","50","false","0","{breed random-profiles}","1","-3","-3"
"8","50","false","1","{breed random-profiles}","2","1","-2"
"8","50","false","2","{breed random-profiles}","3","1","-1"
"8","50","false","3","{breed attack-profiles}","1","2","2"
"8","50","false","4","{breed random-profiles}","4","3","2"
"8","50","false","5","{breed random-profiles}","5","1","3"
"8","50","false","6","{breed random-profiles}","6","-1","2"
"8","50","false","7","{breed attack-profiles}","1","3","3"
"8","50","false","8","{breed random-profiles}","1","3","3"
"8","50","false","9","{breed random-profiles}","7","-1","1"
"8","50","false","10","{breed attack-profiles}","2","3","5"
"8","50","false","11","{breed attack-profiles}","2","2","5"
"8","50","false","12","{breed attack-profiles}","3","0","5"
"8","50","false","13","{breed attack-profiles}","3","0","5"
"8","50","false","14","{breed random-profiles}","2","-3","0"
"8","50","false","15","{breed random-profiles}","8","-1","0"
"8","50","false","16","{breed attack-profiles}","4","1.5","6.5"
"8","50","false","17","{breed random-profiles}","9","1","1"
"8","50","false","18","{breed random-profiles}","10","-3","-2"
"8","50","false","19","{breed attack-profiles}","4","4.5","9.5"
"8","50","false","20","{breed attack-profiles}","5","3","9.5"
"8","50","false","21","{breed attack-profiles}","6","0","9.5"
"8","50","false","22","{breed attack-profiles}","7","0","9.5"
"8","50","false","23","{breed attack-profiles}","8","0","9.5"
"8","50","false","24","{breed random-profiles}","11","-2","-4"
"8","50","false","25","{breed random-profiles}","3","-1","-1"
"8","50","false","26","{breed attack-profiles}","9","3","12.5"
"8","50","false","27","{breed random-profiles}","4","1","0"
"8","50","false","28","{breed random-profiles}","5","-3","-3"
"8","50","false","29","{breed random-profiles}","6","-1","-4"
"8","50","false","30","{breed attack-profiles}","10","2.5","15"
"8","50","false","31","{breed random-profiles}","7","1","-3"
"8","50","false","32","{breed random-profiles}","8","1","-2"
"8","50","false","33","{breed random-profiles}","9","-1","-3"
"8","50","false","34","{breed random-profiles}","12","-1","-5"
"8","50","false","35","{breed attack-profiles}","11","2","17"
"8","50","false","36","{breed random-profiles}","13","-1","-6"
"8","50","false","37","{breed random-profiles}","10","-1","-4"
"8","50","false","38","{breed random-profiles}","14","0","-6"
"8","50","false","39","{breed random-profiles}","11","-3","-7"
"8","50","false","40","{breed attack-profiles}","12","2","19"
"9","50","false","0","{breed attack-profiles}","1","0","0"
"9","50","false","1","{breed random-profiles}","1","1","1"
"9","50","false","2","{breed attack-profiles}","2","1","1"
"9","50","false","3","{breed attack-profiles}","1","1","1"
"9","50","false","4","{breed random-profiles}","2","-1","0"
"9","50","false","5","{breed attack-profiles}","3","1.5","2.5"
"9","50","false","6","{breed random-profiles}","3","-1","-1"
"9","50","false","7","{breed attack-profiles}","2","3","4"
"9","50","false","8","{breed attack-profiles}","3","0","4"
"9","50","false","9","{breed random-profiles}","1","1","1"
"9","50","false","10","{breed random-profiles}","4","-1","-2"
"9","50","false","11","{breed random-profiles}","5","3","1"
"9","50","false","12","{breed attack-profiles}","4","2.5","5"
"9","50","false","13","{breed random-profiles}","6","1","2"
"9","50","false","14","{breed random-profiles}","2","1","2"
"9","50","false","15","{breed attack-profiles}","5","2","7"
"9","50","false","16","{breed attack-profiles}","4","3","7"
"9","50","false","17","{breed attack-profiles}","6","0","7"
"9","50","false","18","{breed random-profiles}","3","-5","-3"
"9","50","false","19","{breed attack-profiles}","5","2.5","9.5"
"9","50","false","20","{breed attack-profiles}","6","0","9.5"
"9","50","false","21","{breed random-profiles}","7","-1","1"
"9","50","false","22","{breed random-profiles}","8","-1","0"
"9","50","false","23","{breed attack-profiles}","7","3.5","10.5"
"9","50","false","24","{breed random-profiles}","9","3","3"
"9","50","false","25","{breed attack-profiles}","8","0.5","11"
"9","50","false","26","{breed attack-profiles}","7","1.5","11"
"9","50","false","27","{breed random-profiles}","4","-3","-6"
"9","50","false","28","{breed random-profiles}","5","-3","-9"
"9","50","false","29","{breed attack-profiles}","8","2","13"
"9","50","false","30","{breed random-profiles}","10","-5","-2"
"9","50","false","31","{breed attack-profiles}","9","4.5","15.5"
"9","50","false","32","{breed random-profiles}","11","-3","-5"
"9","50","false","33","{breed random-profiles}","12","-1","-6"
"9","50","false","34","{breed attack-profiles}","10","2.5","18"
"9","50","false","35","{breed attack-profiles}","11","0","18"
"9","50","false","36","{breed attack-profiles}","12","0","18"
"9","50","false","37","{breed random-profiles}","13","0","-6"
"9","50","false","38","{breed random-profiles}","14","0","-6"
"9","50","false","39","{breed attack-profiles}","9","3","16"
"9","50","false","40","{breed attack-profiles}","13","0","18"
"10","50","false","0","{breed random-profiles}","1","3","3"
"10","50","false","1","{breed random-profiles}","2","-1","2"
"10","50","false","2","{breed attack-profiles}","1","1.5","1.5"
"10","50","false","3","{breed random-profiles}","1","-3","-3"
"10","50","false","4","{breed attack-profiles}","1","1.5","1.5"
"10","50","false","5","{breed attack-profiles}","2","0","1.5"
"10","50","false","6","{breed attack-profiles}","3","0","1.5"
"10","50","false","7","{breed random-profiles}","2","1","-2"
"10","50","false","8","{breed random-profiles}","3","-1","1"
"10","50","false","9","{breed attack-profiles}","2","2.5","4"
"10","50","false","10","{breed attack-profiles}","3","0","4"
"10","50","false","11","{breed random-profiles}","4","-1","0"
"10","50","false","12","{breed attack-profiles}","4","1.5","5.5"
"10","50","false","13","{breed random-profiles}","5","3","3"
"10","50","false","14","{breed random-profiles}","3","-3","-5"
"10","50","false","15","{breed random-profiles}","6","1","4"
"10","50","false","16","{breed random-profiles}","4","3","-2"
"10","50","false","17","{breed attack-profiles}","4","5.5","7"
"10","50","false","18","{breed attack-profiles}","5","1.5","7"
"10","50","false","19","{breed attack-profiles}","5","0","7"
"10","50","false","20","{breed random-profiles}","5","1","-1"
"10","50","false","21","{breed random-profiles}","7","-3","1"
"10","50","false","22","{breed random-profiles}","6","-1","-2"
"10","50","false","23","{breed random-profiles}","8","1","2"
"10","50","false","24","{breed attack-profiles}","6","3.5","10.5"
"10","50","false","25","{breed attack-profiles}","6","3.5","10.5"
"10","50","false","26","{breed random-profiles}","7","-1","-3"
"10","50","false","27","{breed random-profiles}","8","-1","-4"
"10","50","false","28","{breed attack-profiles}","7","3","13.5"
"10","50","false","29","{breed random-profiles}","9","1","-3"
"10","50","false","30","{breed attack-profiles}","8","1","14.5"
"10","50","false","31","{breed attack-profiles}","9","0","14.5"
"10","50","false","32","{breed random-profiles}","10","-5","-8"
"10","50","false","33","{breed random-profiles}","11","1","-7"
"10","50","false","34","{breed random-profiles}","9","-1","1"
"10","50","false","35","{breed attack-profiles}","7","7","17.5"
"10","50","false","36","{breed attack-profiles}","8","0","17.5"
"10","50","false","37","{breed attack-profiles}","9","0","17.5"
"10","50","false","38","{breed attack-profiles}","10","3","17.5"
"10","50","false","39","{breed random-profiles}","10","-1","0"
"10","50","false","40","{breed attack-profiles}","10","1.5","19"
"11","50","false","0","{breed attack-profiles}","1","0","0"
"11","50","false","1","{breed attack-profiles}","1","0","0"
"11","50","false","2","{breed random-profiles}","1","-1","-1"
"11","50","false","3","{breed attack-profiles}","2","1.5","1.5"
"11","50","false","4","{breed random-profiles}","1","-3","-3"
"11","50","false","5","{breed attack-profiles}","3","2","3.5"
"11","50","false","6","{breed attack-profiles}","4","0","3.5"
"11","50","false","7","{breed random-profiles}","2","-1","-2"
"11","50","false","8","{breed random-profiles}","2","-1","-4"
"11","50","false","9","{breed random-profiles}","3","3","-1"
"11","50","false","10","{breed attack-profiles}","5","1.5","5"
"11","50","false","11","{breed random-profiles}","4","3","2"
"11","50","false","12","{breed random-profiles}","5","1","3"
"11","50","false","13","{breed random-profiles}","3","-1","-3"
"11","50","false","14","{breed random-profiles}","6","-3","0"
"11","50","false","15","{breed random-profiles}","7","1","1"
"11","50","false","16","{breed random-profiles}","4","-1","-4"
"11","50","false","17","{breed attack-profiles}","6","5","10"
"11","50","false","18","{breed attack-profiles}","2","12","12"
"11","50","false","19","{breed attack-profiles}","3","0","12"
"11","50","false","20","{breed random-profiles}","8","-1","0"
"11","50","false","21","{breed random-profiles}","9","-3","-3"
"11","50","false","22","{breed attack-profiles}","7","1.5","11.5"
"11","50","false","23","{breed attack-profiles}","8","0","11.5"
"11","50","false","24","{breed random-profiles}","5","-1","-5"
"11","50","false","25","{breed attack-profiles}","9","1.5","13"
"11","50","false","26","{breed random-profiles}","6","-1","-6"
"11","50","false","27","{breed random-profiles}","7","1","-5"
"11","50","false","28","{breed random-profiles}","10","1","-2"
"11","50","false","29","{breed random-profiles}","8","1","-4"
"11","50","false","30","{breed attack-profiles}","10","2.5","15.5"
"11","50","false","31","{breed random-profiles}","11","-3","-5"
"11","50","false","32","{breed attack-profiles}","11","2","17.5"
"11","50","false","33","{breed attack-profiles}","12","0","17.5"
"11","50","false","34","{breed random-profiles}","12","-1","-6"
"11","50","false","35","{breed attack-profiles}","4","10","22"
"11","50","false","36","{breed attack-profiles}","13","0.5","18"
"11","50","false","37","{breed random-profiles}","9","1","-3"
"11","50","false","38","{breed random-profiles}","10","1","-2"
"11","50","false","39","{breed random-profiles}","11","-1","-3"
"11","50","false","40","{breed random-profiles}","12","-2","-5"
"12","50","false","0","{breed attack-profiles}","1","0","0"
"12","50","false","1","{breed attack-profiles}","1","0","0"
