"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Starting-Network-1"
"05/22/2015 11:42:12:180 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles2"
"2","50","false","0","0"
"2","50","false","1","0"
"2","50","false","2","0"
"2","50","false","3","0"
"2","50","false","4","0"
"2","50","false","5","5"
"2","50","false","6","5"
"2","50","false","7","9"
"2","50","false","8","9"
"2","50","false","9","9"
"2","50","false","10","9"
"1","50","false","0","0"
"1","50","false","1","3"
"3","50","false","0","0"
"7","50","false","0","0"
"1","50","false","2","6"
"3","50","false","1","0"
"1","50","false","3","9"
"7","50","false","1","0"
"3","50","false","2","0"
"1","50","false","4","12"
"7","50","false","2","0"
"6","50","false","0","0"
"4","50","false","0","0"
"1","50","false","5","12"
"6","50","false","1","0"
"1","50","false","6","15"
"8","50","false","0","0"
"5","50","false","0","0"
"1","50","false","7","17"
"8","50","false","1","0"
"1","50","false","8","20"
"8","50","false","2","0"
"1","50","false","9","20"
"1","50","false","10","25"
"7","50","false","3","5"
"3","50","false","3","5"
"3","50","false","4","5"
"7","50","false","4","5"
"9","50","false","0","0"
"4","50","false","1","1"
"6","50","false","2","1"
"3","50","false","5","10"
"7","50","false","5","5"
"9","50","false","1","0"
"4","50","false","2","1"
"6","50","false","3","1"
"5","50","false","1","5"
"3","50","false","6","10"
"7","50","false","6","5"
"4","50","false","3","1"
"8","50","false","3","5"
"6","50","false","4","1"
"5","50","false","2","5"
"4","50","false","4","3"
"7","50","false","7","5"
"3","50","false","7","10"
"6","50","false","5","1"
"8","50","false","4","5"
"5","50","false","3","5"
"4","50","false","5","3"
"7","50","false","8","10"
"3","50","false","8","10"
"5","50","false","4","5"
"4","50","false","6","3"
"8","50","false","5","5"
"7","50","false","9","15"
"6","50","false","6","1"
"3","50","false","9","10"
"4","50","false","7","4"
"9","50","false","2","0"
"8","50","false","6","9"
"5","50","false","5","5"
"7","50","false","10","15"
"6","50","false","7","6"
"4","50","false","8","8"
"9","50","false","3","0"
"8","50","false","7","9"
"3","50","false","10","10"
"5","50","false","6","5"
"6","50","false","8","6"
"4","50","false","9","8"
"9","50","false","4","0"
"8","50","false","8","9"
"6","50","false","9","8"
"5","50","false","7","5"
"4","50","false","10","8"
"9","50","false","5","0"
"8","50","false","9","9"
"6","50","false","10","8"
"5","50","false","8","5"
"9","50","false","6","1"
"8","50","false","10","9"
"5","50","false","9","5"
"9","50","false","7","1"
"5","50","false","10","5"
"9","50","false","8","1"
"9","50","false","9","2"
"9","50","false","10","2"
"10","50","false","0","0"
"10","50","false","1","4"
"10","50","false","2","7"
"10","50","false","3","8"
"10","50","false","4","11"
"10","50","false","5","12"
"10","50","false","6","15"
"10","50","false","7","19"
"10","50","false","8","19"
"10","50","false","9","22"
"10","50","false","10","25"
"12","50","false","0","0"
"12","50","false","1","0"
"12","50","false","2","0"
"12","50","false","3","0"
"13","50","false","0","0"
"11","50","false","0","0"
"12","50","false","4","0"
"15","50","false","0","0"
"14","50","false","0","0"
"11","50","false","1","0"
"13","50","false","1","4"
"12","50","false","5","0"
"15","50","false","1","0"
"11","50","false","2","1"
"14","50","false","1","5"
"13","50","false","2","4"
"12","50","false","6","0"
"15","50","false","2","0"
"11","50","false","3","1"
"14","50","false","2","8"
"13","50","false","3","4"
"15","50","false","3","1"
"12","50","false","7","0"
"14","50","false","3","12"
"11","50","false","4","1"
"13","50","false","4","9"
"15","50","false","4","1"
"16","50","false","0","0"
"12","50","false","8","0"
"14","50","false","4","16"
"11","50","false","5","1"
"15","50","false","5","5"
"13","50","false","5","9"
"12","50","false","9","1"
"16","50","false","1","4"
"14","50","false","5","16"
"11","50","false","6","1"
"12","50","false","10","3"
"15","50","false","6","9"
"13","50","false","6","9"
"16","50","false","2","7"
"17","50","false","0","0"
"15","50","false","7","10"
"14","50","false","6","16"
"11","50","false","7","1"
"13","50","false","7","12"
"16","50","false","3","12"
"17","50","false","1","4"
"15","50","false","8","12"
"11","50","false","8","2"
"14","50","false","7","17"
"13","50","false","8","16"
"17","50","false","2","4"
"16","50","false","4","12"
"11","50","false","9","4"
"15","50","false","9","12"
"14","50","false","8","21"
"13","50","false","9","16"
"16","50","false","5","14"
"17","50","false","3","4"
"11","50","false","10","5"
"15","50","false","10","12"
"14","50","false","9","25"
"13","50","false","10","19"
"16","50","false","6","14"
"18","50","false","0","0"
"17","50","false","4","4"
"14","50","false","10","25"
"16","50","false","7","18"
"18","50","false","1","4"
"17","50","false","5","8"
"18","50","false","2","5"
"16","50","false","8","22"
"17","50","false","6","8"
"18","50","false","3","7"
"17","50","false","7","12"
"16","50","false","9","22"
"18","50","false","4","10"
"16","50","false","10","22"
"18","50","false","5","13"
"17","50","false","8","12"
"18","50","false","6","15"
"17","50","false","9","16"
"17","50","false","10","19"
"18","50","false","7","18"
"18","50","false","8","21"
"18","50","false","9","23"
"18","50","false","10","25"
"19","50","false","0","0"
"19","50","false","1","5"
"19","50","false","2","5"
"19","50","false","3","9"
"19","50","false","4","9"
"19","50","false","5","14"
"19","50","false","6","17"
"23","50","false","0","0"
"20","50","false","0","0"
"19","50","false","7","17"
"21","50","false","0","0"
"23","50","false","1","0"
"22","50","false","0","0"
"20","50","false","1","0"
"21","50","false","1","4"
"23","50","false","2","0"
"19","50","false","8","17"
"22","50","false","1","5"
"20","50","false","2","0"
"21","50","false","2","8"
"23","50","false","3","0"
"22","50","false","2","8"
"19","50","false","9","21"
"20","50","false","3","1"
"21","50","false","3","13"
"23","50","false","4","0"
"20","50","false","4","4"
"22","50","false","3","8"
"19","50","false","10","21"
"26","50","false","0","0"
"21","50","false","4","13"
"24","50","false","0","0"
"23","50","false","5","0"
"22","50","false","4","11"
"26","50","false","1","4"
"20","50","false","5","4"
"24","50","false","1","0"
"23","50","false","6","0"
"26","50","false","2","7"
"22","50","false","5","11"
"21","50","false","5","13"
"20","50","false","6","4"
"24","50","false","2","0"
"23","50","false","7","0"
"26","50","false","3","9"
"22","50","false","6","13"
"21","50","false","6","13"
"23","50","false","8","2"
"20","50","false","7","4"
"24","50","false","3","0"
"26","50","false","4","11"
"22","50","false","7","17"
"21","50","false","7","15"
"20","50","false","8","5"
"23","50","false","9","2"
"26","50","false","5","14"
"24","50","false","4","0"
"21","50","false","8","19"
"20","50","false","9","5"
"23","50","false","10","2"
"26","50","false","6","16"
"24","50","false","5","4"
"21","50","false","9","19"
"20","50","false","10","5"
"22","50","false","8","21"
"26","50","false","7","19"
"21","50","false","10","22"
"22","50","false","9","25"
"26","50","false","8","19"
"24","50","false","6","9"
"22","50","false","10","25"
"26","50","false","9","22"
"24","50","false","7","9"
"26","50","false","10","25"
"24","50","false","8","9"
"24","50","false","9","9"
"24","50","false","10","12"
"25","50","false","0","0"
"25","50","false","1","2"
"25","50","false","2","2"
"25","50","false","3","2"
"25","50","false","4","4"
"25","50","false","5","4"
"25","50","false","6","7"
"25","50","false","7","12"
"25","50","false","8","15"
"27","50","false","0","0"
"27","50","false","1","4"
"27","50","false","2","8"
"27","50","false","3","8"
"25","50","false","9","19"
"27","50","false","4","8"
"30","50","false","0","0"
"25","50","false","10","19"
"30","50","false","1","0"
"30","50","false","2","0"
"27","50","false","5","13"
"30","50","false","3","1"
"27","50","false","6","16"
"30","50","false","4","2"
"29","50","false","0","0"
"27","50","false","7","19"
"30","50","false","5","2"
"28","50","false","0","0"
"27","50","false","8","22"
"28","50","false","1","0"
"30","50","false","6","4"
"30","50","false","7","5"
"30","50","false","8","5"
"27","50","false","9","22"
"30","50","false","9","5"
"30","50","false","10","6"
"31","50","false","0","0"
"32","50","false","0","0"
"27","50","false","10","25"
"29","50","false","1","5"
"33","50","false","0","0"
"28","50","false","2","3"
"29","50","false","2","8"
"28","50","false","3","3"
"29","50","false","3","8"
"29","50","false","4","8"
"28","50","false","4","7"
"29","50","false","5","11"
"28","50","false","5","7"
"31","50","false","1","1"
"28","50","false","6","12"
"33","50","false","1","0"
"32","50","false","1","1"
"31","50","false","2","1"
"28","50","false","7","12"
"32","50","false","2","3"
"33","50","false","2","0"
"31","50","false","3","1"
"32","50","false","3","5"
"33","50","false","3","1"
"28","50","false","8","12"
"31","50","false","4","1"
"32","50","false","4","6"
"28","50","false","9","16"
"33","50","false","4","1"
"31","50","false","5","4"
"29","50","false","6","14"
"32","50","false","5","9"
"33","50","false","5","1"
"28","50","false","10","19"
"31","50","false","6","4"
"29","50","false","7","18"
"32","50","false","6","12"
"33","50","false","6","1"
"31","50","false","7","4"
"33","50","false","7","1"
"32","50","false","7","16"
"29","50","false","8","20"
"33","50","false","8","1"
"32","50","false","8","18"
"29","50","false","9","20"
"33","50","false","9","5"
"32","50","false","9","21"
"29","50","false","10","25"
"33","50","false","10","8"
"32","50","false","10","25"
"34","50","false","0","0"
"31","50","false","8","4"
"34","50","false","1","0"
"34","50","false","2","0"
"34","50","false","3","1"
"34","50","false","4","1"
"34","50","false","5","3"
"34","50","false","6","3"
"34","50","false","7","5"
"36","50","false","0","0"
"34","50","false","8","5"
"34","50","false","9","7"
"36","50","false","1","5"
"34","50","false","10","7"
"36","50","false","2","5"
"36","50","false","3","5"
"40","50","false","0","0"
"31","50","false","9","4"
"36","50","false","4","5"
"40","50","false","1","2"
"31","50","false","10","4"
"40","50","false","2","3"
"36","50","false","5","10"
"40","50","false","3","7"
"36","50","false","6","14"
"37","50","false","0","0"
"40","50","false","4","8"
"36","50","false","7","14"
"37","50","false","1","2"
"40","50","false","5","12"
"36","50","false","8","18"
"37","50","false","2","2"
"40","50","false","6","14"
"37","50","false","3","2"
"37","50","false","4","4"
"40","50","false","7","17"
"36","50","false","9","22"
"37","50","false","5","5"
"37","50","false","6","5"
"36","50","false","10","25"
"37","50","false","7","7"
"39","50","false","0","0"
"37","50","false","8","10"
"39","50","false","1","0"
"37","50","false","9","10"
"39","50","false","2","3"
"37","50","false","10","10"
"39","50","false","3","7"
"39","50","false","4","11"
"35","50","false","0","0"
"35","50","false","1","3"
"35","50","false","2","6"
"35","50","false","3","6"
"35","50","false","4","6"
"35","50","false","5","6"
"41","50","false","0","0"
"39","50","false","5","11"
"35","50","false","6","6"
"41","50","false","1","0"
"35","50","false","7","6"
"41","50","false","2","0"
"35","50","false","8","10"
"38","50","false","0","0"
"41","50","false","3","0"
"35","50","false","9","13"
"38","50","false","1","1"
"39","50","false","6","11"
"41","50","false","4","0"
"35","50","false","10","17"
"38","50","false","2","1"
"39","50","false","7","11"
"41","50","false","5","0"
"38","50","false","3","1"
"39","50","false","8","15"
"38","50","false","4","2"
"38","50","false","5","4"
"40","50","false","8","19"
"41","50","false","6","1"
"39","50","false","9","18"
"38","50","false","6","5"
"40","50","false","9","21"
"41","50","false","7","1"
"39","50","false","10","18"
"42","50","false","0","0"
"38","50","false","7","5"
"41","50","false","8","1"
"40","50","false","10","25"
"42","50","false","1","0"
"38","50","false","8","5"
"42","50","false","2","0"
"41","50","false","9","1"
"41","50","false","10","2"
"42","50","false","3","4"
"42","50","false","4","4"
"42","50","false","5","9"
"42","50","false","6","9"
"42","50","false","7","9"
"44","50","false","0","0"
"42","50","false","8","9"
"44","50","false","1","4"
"44","50","false","2","8"
"42","50","false","9","11"
"44","50","false","3","11"
"42","50","false","10","11"
"44","50","false","4","15"
"44","50","false","5","15"
"44","50","false","6","15"
"44","50","false","7","17"
"44","50","false","8","17"
"44","50","false","9","17"
"44","50","false","10","17"
"47","50","false","0","0"
"47","50","false","1","3"
"47","50","false","2","5"
"47","50","false","3","9"
"47","50","false","4","12"
"38","50","false","9","5"
"47","50","false","5","15"
"43","50","false","0","0"
"38","50","false","10","5"
"47","50","false","6","16"
"45","50","false","0","0"
"43","50","false","1","0"
"46","50","false","0","0"
"45","50","false","1","0"
"47","50","false","7","19"
"45","50","false","2","2"
"45","50","false","3","4"
"45","50","false","4","7"
"48","50","false","0","0"
"47","50","false","8","22"
"46","50","false","1","1"
"45","50","false","5","7"
"48","50","false","1","3"
"46","50","false","2","4"
"45","50","false","6","7"
"48","50","false","2","7"
"43","50","false","2","0"
"45","50","false","7","7"
"48","50","false","3","7"
"47","50","false","9","25"
"46","50","false","3","4"
"45","50","false","8","10"
"48","50","false","4","7"
