"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Complete-Network-1"
"05/22/2015 13:29:16:590 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles2"
"4","50","false","0","0"
"4","50","false","1","3"
"4","50","false","2","5"
"4","50","false","3","8"
"4","50","false","4","9"
"4","50","false","5","12"
"4","50","false","6","14"
"4","50","false","7","16"
"4","50","false","8","19"
"4","50","false","9","22"
"4","50","false","10","25"
"6","50","false","0","0"
"6","50","false","1","3"
"6","50","false","2","4"
"6","50","false","3","7"
"6","50","false","4","8"
"2","50","false","0","0"
"6","50","false","5","10"
"6","50","false","6","13"
"6","50","false","7","17"
"6","50","false","8","21"
"6","50","false","9","23"
"6","50","false","10","25"
"2","50","false","1","0"
"2","50","false","2","2"
"5","50","false","0","0"
"2","50","false","3","4"
"2","50","false","4","8"
"2","50","false","5","13"
"2","50","false","6","17"
"5","50","false","1","1"
"2","50","false","7","19"
"5","50","false","2","3"
"2","50","false","8","22"
"5","50","false","3","7"
"2","50","false","9","24"
"5","50","false","4","10"
"5","50","false","5","12"
"2","50","false","10","25"
"7","50","false","0","0"
"5","50","false","6","16"
"5","50","false","7","19"
"5","50","false","8","22"
"5","50","false","9","22"
"5","50","false","10","25"
"7","50","false","1","2"
"7","50","false","2","5"
"7","50","false","3","7"
"7","50","false","4","10"
"3","50","false","0","0"
"7","50","false","5","12"
"7","50","false","6","15"
"7","50","false","7","17"
"7","50","false","8","21"
"7","50","false","9","24"
"7","50","false","10","25"
"3","50","false","1","2"
"3","50","false","2","3"
"3","50","false","3","5"
"3","50","false","4","6"
"3","50","false","5","10"
"3","50","false","6","15"
"3","50","false","7","17"
"3","50","false","8","19"
"3","50","false","9","23"
"3","50","false","10","25"
"8","50","false","0","0"
"8","50","false","1","2"
"8","50","false","2","3"
"8","50","false","3","6"
"8","50","false","4","8"
"8","50","false","5","10"
"8","50","false","6","12"
"8","50","false","7","15"
"8","50","false","8","20"
"8","50","false","9","23"
"8","50","false","10","25"
"1","50","false","0","0"
"1","50","false","1","3"
"1","50","false","2","4"
"1","50","false","3","6"
"1","50","false","4","8"
"1","50","false","5","12"
"1","50","false","6","14"
"1","50","false","7","17"
"1","50","false","8","21"
"1","50","false","9","23"
"1","50","false","10","25"
"9","50","false","0","0"
"9","50","false","1","3"
"9","50","false","2","7"
"9","50","false","3","9"
"9","50","false","4","12"
"9","50","false","5","15"
"9","50","false","6","15"
"9","50","false","7","17"
"9","50","false","8","20"
"9","50","false","9","22"
"9","50","false","10","25"
"13","50","false","0","0"
"13","50","false","1","3"
"13","50","false","2","4"
"13","50","false","3","8"
"13","50","false","4","11"
"12","50","false","0","0"
"13","50","false","5","11"
"13","50","false","6","14"
"13","50","false","7","16"
"13","50","false","8","18"
"12","50","false","1","3"
"13","50","false","9","22"
"12","50","false","2","5"
"10","50","false","0","0"
"13","50","false","10","25"
"12","50","false","3","8"
"12","50","false","4","11"
"11","50","false","0","0"
"12","50","false","5","14"
"12","50","false","6","16"
"12","50","false","7","17"
"10","50","false","1","1"
"12","50","false","8","19"
