"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Early-Network-5"
"05/22/2015 13:02:44:993 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"1","50","false","0","0"
"6","50","false","0","0"
"3","50","false","0","0"
"6","50","false","1","4"
"1","50","false","1","1"
"6","50","false","2","9"
"2","50","false","0","0"
"1","50","false","2","6"
"6","50","false","3","14"
"1","50","false","3","8"
"6","50","false","4","18"
"7","50","false","0","0"
"1","50","false","4","10"
"5","50","false","0","0"
"6","50","false","5","20"
"8","50","false","0","0"
"3","50","false","1","4"
"1","50","false","5","12"
"6","50","false","6","22"
"1","50","false","6","13"
"3","50","false","2","4"
"6","50","false","7","22"
"1","50","false","7","16"
"3","50","false","3","6"
"6","50","false","8","23"
"3","50","false","4","9"
"1","50","false","8","20"
"6","50","false","9","25"
"4","50","false","0","0"
"3","50","false","5","13"
"1","50","false","9","23"
"6","50","false","10","25"
"3","50","false","6","15"
"1","50","false","10","25"
"3","50","false","7","16"
"3","50","false","8","19"
"3","50","false","9","21"
"3","50","false","10","25"
"2","50","false","1","3"
"2","50","false","2","8"
"2","50","false","3","13"
"2","50","false","4","16"
"8","50","false","1","4"
"7","50","false","1","1"
"2","50","false","5","18"
"5","50","false","1","4"
"8","50","false","2","7"
"2","50","false","6","21"
"7","50","false","2","4"
"8","50","false","3","8"
"2","50","false","7","21"
"5","50","false","2","6"
"7","50","false","3","7"
"8","50","false","4","11"
"2","50","false","8","23"
"5","50","false","3","7"
"7","50","false","4","8"
"8","50","false","5","13"
"2","50","false","9","25"
"5","50","false","4","12"
"7","50","false","5","11"
"8","50","false","6","16"
"2","50","false","10","25"
"7","50","false","6","13"
"8","50","false","7","18"
"5","50","false","5","17"
"7","50","false","7","17"
"8","50","false","8","18"
"4","50","false","1","3"
"5","50","false","6","18"
"7","50","false","8","20"
"8","50","false","9","21"
"7","50","false","9","22"
"8","50","false","10","25"
"5","50","false","7","20"
"10","50","false","0","0"
"9","50","false","0","0"
"7","50","false","10","25"
"4","50","false","2","6"
"10","50","false","1","3"
"9","50","false","1","2"
"11","50","false","0","0"
"5","50","false","8","21"
"10","50","false","2","6"
"4","50","false","3","7"
"10","50","false","3","8"
"11","50","false","1","3"
"9","50","false","2","7"
"5","50","false","9","25"
"10","50","false","4","11"
"11","50","false","2","7"
"9","50","false","3","12"
"4","50","false","4","10"
"10","50","false","5","13"
"9","50","false","4","15"
"5","50","false","10","25"
"10","50","false","6","15"
"11","50","false","3","12"
"4","50","false","5","13"
"11","50","false","4","13"
"9","50","false","5","15"
"10","50","false","7","17"
"10","50","false","8","20"
"9","50","false","6","17"
"4","50","false","6","17"
"11","50","false","5","15"
"10","50","false","9","22"
"9","50","false","7","19"
"12","50","false","0","0"
"11","50","false","6","17"
"10","50","false","10","25"
"9","50","false","8","22"
"12","50","false","1","2"
"4","50","false","7","19"
"13","50","false","0","0"
"9","50","false","9","24"
"12","50","false","2","7"
"11","50","false","7","19"
"12","50","false","3","8"
"13","50","false","1","2"
"4","50","false","8","22"
"14","50","false","0","0"
"12","50","false","4","11"
"11","50","false","8","22"
"9","50","false","10","25"
"12","50","false","5","12"
"14","50","false","1","1"
"13","50","false","2","7"
"11","50","false","9","23"
"4","50","false","9","24"
"14","50","false","2","2"
"13","50","false","3","9"
"12","50","false","6","14"
"11","50","false","10","25"
"14","50","false","3","3"
"13","50","false","4","11"
"4","50","false","10","25"
"12","50","false","7","18"
"15","50","false","0","0"
"14","50","false","4","8"
"13","50","false","5","13"
"12","50","false","8","22"
"15","50","false","1","2"
"13","50","false","6","14"
"14","50","false","5","10"
"12","50","false","9","24"
"15","50","false","2","5"
"13","50","false","7","17"
"14","50","false","6","13"
"12","50","false","10","25"
"13","50","false","8","19"
"15","50","false","3","10"
"14","50","false","7","16"
"13","50","false","9","22"
"15","50","false","4","11"
"14","50","false","8","20"
"13","50","false","10","25"
"14","50","false","9","22"
"14","50","false","10","25"
"15","50","false","5","14"
"16","50","false","0","0"
"16","50","false","1","2"
"15","50","false","6","15"
"16","50","false","2","6"
"15","50","false","7","17"
"17","50","false","0","0"
"16","50","false","3","11"
"15","50","false","8","18"
"17","50","false","1","3"
"16","50","false","4","14"
"15","50","false","9","20"
"17","50","false","2","8"
"16","50","false","5","15"
"15","50","false","10","25"
"17","50","false","3","13"
"18","50","false","0","0"
"16","50","false","6","16"
"18","50","false","1","2"
"17","50","false","4","16"
"16","50","false","7","17"
"18","50","false","2","7"
"17","50","false","5","17"
"16","50","false","8","19"
"18","50","false","3","8"
"17","50","false","6","20"
"18","50","false","4","12"
"16","50","false","9","22"
"17","50","false","7","21"
"18","50","false","5","13"
"19","50","false","0","0"
"20","50","false","0","0"
"16","50","false","10","25"
"20","50","false","1","4"
"18","50","false","6","16"
"17","50","false","8","23"
"19","50","false","1","0"
"21","50","false","0","0"
"18","50","false","7","18"
"17","50","false","9","25"
"20","50","false","2","5"
"19","50","false","2","3"
"17","50","false","10","25"
"20","50","false","3","7"
"18","50","false","8","19"
"21","50","false","1","2"
"19","50","false","3","7"
"21","50","false","2","5"
"20","50","false","4","10"
"18","50","false","9","22"
"22","50","false","0","0"
"20","50","false","5","12"
"21","50","false","3","8"
"22","50","false","1","3"
"18","50","false","10","25"
"19","50","false","4","10"
"22","50","false","2","8"
"21","50","false","4","10"
"20","50","false","6","14"
"19","50","false","5","12"
"22","50","false","3","12"
"21","50","false","5","14"
"20","50","false","7","18"
"19","50","false","6","15"
"22","50","false","4","13"
"21","50","false","6","16"
"20","50","false","8","20"
"19","50","false","7","18"
"22","50","false","5","14"
"20","50","false","9","22"
"21","50","false","7","18"
"19","50","false","8","20"
"22","50","false","6","18"
"20","50","false","10","25"
"21","50","false","8","19"
"21","50","false","9","21"
"22","50","false","7","19"
"19","50","false","9","21"
"24","50","false","0","0"
"19","50","false","10","25"
"21","50","false","10","25"
"22","50","false","8","21"
"24","50","false","1","3"
"24","50","false","2","5"
"22","50","false","9","23"
"24","50","false","3","8"
"23","50","false","0","0"
"24","50","false","4","11"
"22","50","false","10","25"
"25","50","false","0","0"
"24","50","false","5","12"
"25","50","false","1","3"
"25","50","false","2","8"
"26","50","false","0","0"
"24","50","false","6","15"
"26","50","false","1","2"
"24","50","false","7","18"
"26","50","false","2","2"
"24","50","false","8","20"
"23","50","false","1","3"
"26","50","false","3","4"
"25","50","false","3","12"
"23","50","false","2","6"
"24","50","false","9","22"
