"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Early-Profile6"
"05/21/2015 17:26:54:618 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"1","50","false","0","0"
"1","50","false","1","3"
"1","50","false","2","4"
"1","50","false","3","6"
"1","50","false","4","10"
"1","50","false","5","12"
"1","50","false","6","13"
"1","50","false","7","15"
"1","50","false","8","17"
"1","50","false","9","20"
"1","50","false","10","25"
"2","50","false","0","0"
"2","50","false","1","2"
"2","50","false","2","4"
"2","50","false","3","8"
"2","50","false","4","10"
"2","50","false","5","12"
"2","50","false","6","13"
"2","50","false","7","17"
"2","50","false","8","21"
"2","50","false","9","24"
"2","50","false","10","25"
"3","50","false","0","0"
"3","50","false","1","1"
"3","50","false","2","3"
"3","50","false","3","5"
"3","50","false","4","8"
"3","50","false","5","12"
"3","50","false","6","15"
"3","50","false","7","18"
"3","50","false","8","21"
"3","50","false","9","23"
"3","50","false","10","25"
"4","50","false","0","0"
"4","50","false","1","1"
"4","50","false","2","4"
"4","50","false","3","5"
"4","50","false","4","9"
"4","50","false","5","13"
"4","50","false","6","17"
"4","50","false","7","19"
"4","50","false","8","21"
"4","50","false","9","22"
"4","50","false","10","25"
"5","50","false","0","0"
"5","50","false","1","2"
"5","50","false","2","6"
"5","50","false","3","8"
"5","50","false","4","10"
"5","50","false","5","12"
"5","50","false","6","14"
"5","50","false","7","18"
"5","50","false","8","21"
"5","50","false","9","24"
"5","50","false","10","25"
"6","50","false","0","0"
"6","50","false","1","1"
"6","50","false","2","5"
"6","50","false","3","8"
"6","50","false","4","11"
"6","50","false","5","15"
"6","50","false","6","17"
"6","50","false","7","19"
"6","50","false","8","23"
"6","50","false","9","24"
"6","50","false","10","25"
"7","50","false","0","0"
"7","50","false","1","2"
"7","50","false","2","6"
"7","50","false","3","8"
"7","50","false","4","13"
"7","50","false","5","16"
"7","50","false","6","18"
"7","50","false","7","19"
"7","50","false","8","21"
"7","50","false","9","22"
"7","50","false","10","25"
"8","50","false","0","0"
"8","50","false","1","3"
"8","50","false","2","6"
"8","50","false","3","10"
"8","50","false","4","14"
"8","50","false","5","15"
"8","50","false","6","17"
"8","50","false","7","19"
"8","50","false","8","22"
"8","50","false","9","25"
"8","50","false","10","25"
"9","50","false","0","0"
"9","50","false","1","5"
"9","50","false","2","8"
"9","50","false","3","11"
"9","50","false","4","12"
"9","50","false","5","13"
"9","50","false","6","16"
"9","50","false","7","17"
"9","50","false","8","21"
"9","50","false","9","24"
"9","50","false","10","25"
"10","50","false","0","0"
"10","50","false","1","2"
"10","50","false","2","6"
"10","50","false","3","8"
"10","50","false","4","10"
"10","50","false","5","13"
"10","50","false","6","17"
"10","50","false","7","18"
"10","50","false","8","19"
"10","50","false","9","22"
"10","50","false","10","25"
"11","50","false","0","0"
"11","50","false","1","4"
"11","50","false","2","5"
"11","50","false","3","7"
"11","50","false","4","7"
"11","50","false","5","12"
"11","50","false","6","13"
"11","50","false","7","16"
"11","50","false","8","20"
"11","50","false","9","22"
"11","50","false","10","25"
"12","50","false","0","0"
"12","50","false","1","1"
"12","50","false","2","4"
"12","50","false","3","9"
"12","50","false","4","12"
"12","50","false","5","16"
"12","50","false","6","18"
"12","50","false","7","19"
"12","50","false","8","21"
"12","50","false","9","23"
"12","50","false","10","25"
"13","50","false","0","0"
"13","50","false","1","1"
"13","50","false","2","3"
"13","50","false","3","6"
"13","50","false","4","9"
"13","50","false","5","10"
"13","50","false","6","10"
"13","50","false","7","15"
"13","50","false","8","19"
"13","50","false","9","22"
"13","50","false","10","25"
"14","50","false","0","0"
"14","50","false","1","2"
"14","50","false","2","4"
"14","50","false","3","7"
"14","50","false","4","10"
"14","50","false","5","13"
"14","50","false","6","15"
"14","50","false","7","18"
"14","50","false","8","20"
"14","50","false","9","22"
"14","50","false","10","25"
"15","50","false","0","0"
"15","50","false","1","1"
"15","50","false","2","3"
"15","50","false","3","8"
"15","50","false","4","10"
"15","50","false","5","14"
"15","50","false","6","15"
"15","50","false","7","17"
"15","50","false","8","19"
"15","50","false","9","22"
"15","50","false","10","25"
"16","50","false","0","0"
"16","50","false","1","4"
"16","50","false","2","7"
"16","50","false","3","9"
"16","50","false","4","11"
"16","50","false","5","14"
"16","50","false","6","19"
"16","50","false","7","20"
"16","50","false","8","22"
"16","50","false","9","22"
"16","50","false","10","25"
"17","50","false","0","0"
"17","50","false","1","2"
"17","50","false","2","7"
"17","50","false","3","9"
"17","50","false","4","11"
"17","50","false","5","16"
"17","50","false","6","17"
"17","50","false","7","21"
"17","50","false","8","22"
"17","50","false","9","24"
"17","50","false","10","25"
"18","50","false","0","0"
"18","50","false","1","4"
"18","50","false","2","6"
"18","50","false","3","11"
"18","50","false","4","13"
"18","50","false","5","16"
"18","50","false","6","19"
"18","50","false","7","22"
"18","50","false","8","24"
"18","50","false","9","25"
"18","50","false","10","25"
"19","50","false","0","0"
"19","50","false","1","2"
"19","50","false","2","4"
"19","50","false","3","8"
"19","50","false","4","8"
"19","50","false","5","12"
"19","50","false","6","14"
"19","50","false","7","16"
"19","50","false","8","18"
"19","50","false","9","22"
"19","50","false","10","25"
"20","50","false","0","0"
"20","50","false","1","2"
"20","50","false","2","6"
"20","50","false","3","8"
"20","50","false","4","10"
"20","50","false","5","13"
"20","50","false","6","15"
"20","50","false","7","18"
"20","50","false","8","20"
"20","50","false","9","23"
"20","50","false","10","25"
"21","50","false","0","0"
"21","50","false","1","1"
"21","50","false","2","5"
"21","50","false","3","8"
"21","50","false","4","10"
"21","50","false","5","12"
"21","50","false","6","15"
"21","50","false","7","19"
"21","50","false","8","22"
"21","50","false","9","24"
"21","50","false","10","25"
"22","50","false","0","0"
"22","50","false","1","2"
"22","50","false","2","5"
"22","50","false","3","9"
"22","50","false","4","10"
"22","50","false","5","14"
"22","50","false","6","18"
"22","50","false","7","19"
"22","50","false","8","20"
"22","50","false","9","21"
"22","50","false","10","25"
"23","50","false","0","0"
"23","50","false","1","2"
"23","50","false","2","5"
"23","50","false","3","7"
"23","50","false","4","9"
"23","50","false","5","12"
"23","50","false","6","14"
"23","50","false","7","17"
"23","50","false","8","19"
"23","50","false","9","21"
"23","50","false","10","25"
"24","50","false","0","0"
"24","50","false","1","3"
"24","50","false","2","6"
"24","50","false","3","8"
"24","50","false","4","9"
"24","50","false","5","11"
"24","50","false","6","14"
"24","50","false","7","16"
"24","50","false","8","19"
"24","50","false","9","21"
