"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Evening-Network-5"
"05/22/2015 13:25:35:717 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"7","50","false","0","0"
"5","50","false","0","0"
"2","50","false","0","0"
"6","50","false","0","0"
"4","50","false","0","0"
"7","50","false","1","5"
"7","50","false","2","10"
"8","50","false","0","0"
"7","50","false","3","15"
"5","50","false","1","1"
"7","50","false","4","20"
"1","50","false","0","0"
"2","50","false","1","4"
"6","50","false","1","5"
"7","50","false","5","25"
"5","50","false","2","6"
"7","50","false","6","25"
"5","50","false","3","11"
"7","50","false","7","25"
"4","50","false","1","3"
"5","50","false","4","16"
"6","50","false","2","10"
"7","50","false","8","25"
"2","50","false","2","9"
"5","50","false","5","21"
"6","50","false","3","15"
"3","50","false","0","0"
"7","50","false","9","25"
"2","50","false","3","14"
"6","50","false","4","20"
"5","50","false","6","25"
"2","50","false","4","19"
"4","50","false","2","8"
"7","50","false","10","25"
"6","50","false","5","25"
"5","50","false","7","25"
"2","50","false","5","24"
"4","50","false","3","13"
"6","50","false","6","25"
"5","50","false","8","25"
"2","50","false","6","25"
"4","50","false","4","18"
"6","50","false","7","25"
"5","50","false","9","25"
"2","50","false","7","25"
"4","50","false","5","23"
"6","50","false","8","25"
"5","50","false","10","25"
"2","50","false","8","25"
"4","50","false","6","25"
"6","50","false","9","25"
"2","50","false","9","25"
"4","50","false","7","25"
"6","50","false","10","25"
"2","50","false","10","25"
"4","50","false","8","25"
"8","50","false","1","3"
"4","50","false","9","25"
"1","50","false","1","3"
"8","50","false","2","8"
"4","50","false","10","25"
"8","50","false","3","13"
"8","50","false","4","18"
"8","50","false","5","23"
"8","50","false","6","25"
"1","50","false","2","8"
"3","50","false","1","2"
"8","50","false","7","25"
"3","50","false","2","7"
"8","50","false","8","25"
"3","50","false","3","12"
"1","50","false","3","13"
"3","50","false","4","17"
"8","50","false","9","25"
"1","50","false","4","18"
"3","50","false","5","22"
"8","50","false","10","25"
"3","50","false","6","25"
"3","50","false","7","25"
"1","50","false","5","23"
"3","50","false","8","25"
"3","50","false","9","25"
"1","50","false","6","25"
"3","50","false","10","25"
"1","50","false","7","25"
"1","50","false","8","25"
"1","50","false","9","25"
"1","50","false","10","25"
"10","50","false","0","0"
"10","50","false","1","3"
"10","50","false","2","8"
"9","50","false","0","0"
"10","50","false","3","13"
"10","50","false","4","18"
"12","50","false","0","0"
"10","50","false","5","23"
"10","50","false","6","25"
"10","50","false","7","25"
"10","50","false","8","25"
"9","50","false","1","2"
"10","50","false","9","25"
"9","50","false","2","7"
"9","50","false","3","12"
"10","50","false","10","25"
"9","50","false","4","17"
"9","50","false","5","22"
"9","50","false","6","25"
"9","50","false","7","25"
"9","50","false","8","25"
"9","50","false","9","25"
"12","50","false","1","2"
"9","50","false","10","25"
"12","50","false","2","7"
"12","50","false","3","12"
"12","50","false","4","17"
"11","50","false","0","0"
"12","50","false","5","22"
"12","50","false","6","25"
"13","50","false","0","0"
"12","50","false","7","25"
"14","50","false","0","0"
"12","50","false","8","25"
"12","50","false","9","25"
"12","50","false","10","25"
"11","50","false","1","2"
"11","50","false","2","7"
"11","50","false","3","12"
"11","50","false","4","17"
"11","50","false","5","22"
"13","50","false","1","3"
"11","50","false","6","25"
