"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Noon-Network-5"
"05/22/2015 13:00:41:493 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"5","50","false","0","0"
"5","50","false","1","4"
"5","50","false","2","9"
"5","50","false","3","14"
"5","50","false","4","19"
"5","50","false","5","22"
"5","50","false","6","22"
"5","50","false","7","22"
"5","50","false","8","25"
"5","50","false","9","25"
"5","50","false","10","25"
"3","50","false","0","0"
"6","50","false","0","0"
"7","50","false","0","0"
"2","50","false","0","0"
"4","50","false","0","0"
"8","50","false","0","0"
"3","50","false","1","1"
"6","50","false","1","2"
"7","50","false","1","1"
"3","50","false","2","6"
"3","50","false","3","11"
"6","50","false","2","7"
"7","50","false","2","6"
"4","50","false","1","1"
"2","50","false","1","1"
"8","50","false","1","1"
"6","50","false","3","12"
"3","50","false","4","16"
"7","50","false","3","11"
"6","50","false","4","17"
"3","50","false","5","21"
"8","50","false","2","6"
"4","50","false","2","6"
"7","50","false","4","16"
"2","50","false","2","6"
"3","50","false","6","23"
"1","50","false","0","0"
"6","50","false","5","20"
"8","50","false","3","11"
"7","50","false","5","21"
"4","50","false","3","11"
"2","50","false","3","11"
"3","50","false","7","24"
"6","50","false","6","20"
"8","50","false","4","16"
"7","50","false","6","22"
"4","50","false","4","16"
"2","50","false","4","16"
"6","50","false","7","22"
"8","50","false","5","21"
"3","50","false","8","24"
"7","50","false","7","24"
"4","50","false","5","21"
"2","50","false","5","21"
"6","50","false","8","23"
"8","50","false","6","25"
"3","50","false","9","25"
"4","50","false","6","25"
"7","50","false","8","24"
"2","50","false","6","25"
"1","50","false","1","3"
"7","50","false","9","24"
"4","50","false","7","25"
"8","50","false","7","25"
"3","50","false","10","25"
"6","50","false","9","25"
"2","50","false","7","25"
"7","50","false","10","25"
"6","50","false","10","25"
"1","50","false","2","8"
"9","50","false","0","0"
"4","50","false","8","25"
"8","50","false","8","25"
"2","50","false","8","25"
"9","50","false","1","2"
"8","50","false","9","25"
"2","50","false","9","25"
"4","50","false","9","25"
"1","50","false","3","13"
"4","50","false","10","25"
"8","50","false","10","25"
"9","50","false","2","7"
"2","50","false","10","25"
"9","50","false","3","12"
"9","50","false","4","17"
"9","50","false","5","22"
"1","50","false","4","18"
"9","50","false","6","25"
"9","50","false","7","25"
"9","50","false","8","25"
"9","50","false","9","25"
"9","50","false","10","25"
"1","50","false","5","23"
"12","50","false","0","0"
"1","50","false","6","24"
"11","50","false","0","0"
"10","50","false","0","0"
"12","50","false","1","3"
"1","50","false","7","24"
"11","50","false","1","3"
"10","50","false","1","3"
"12","50","false","2","8"
"12","50","false","3","13"
"10","50","false","2","8"
"11","50","false","2","8"
"14","50","false","0","0"
"1","50","false","8","24"
"15","50","false","0","0"
"14","50","false","1","3"
"12","50","false","4","18"
"11","50","false","3","13"
"10","50","false","3","13"
"14","50","false","2","8"
"10","50","false","4","18"
"11","50","false","4","18"
"12","50","false","5","23"
"14","50","false","3","13"
"10","50","false","5","23"
"11","50","false","5","23"
"12","50","false","6","24"
"1","50","false","9","25"
"12","50","false","7","24"
"10","50","false","6","23"
"14","50","false","4","18"
"11","50","false","6","23"
"15","50","false","1","3"
"15","50","false","2","8"
"11","50","false","7","23"
"12","50","false","8","24"
"10","50","false","7","23"
"14","50","false","5","23"
"15","50","false","3","13"
"11","50","false","8","24"
"12","50","false","9","25"
"14","50","false","6","24"
"13","50","false","0","0"
"10","50","false","8","23"
"16","50","false","0","0"
"15","50","false","4","18"
"11","50","false","9","24"
"14","50","false","7","24"
"12","50","false","10","25"
"10","50","false","9","24"
"15","50","false","5","21"
"11","50","false","10","25"
"15","50","false","6","22"
"14","50","false","8","25"
"10","50","false","10","25"
"16","50","false","1","2"
"15","50","false","7","24"
"14","50","false","9","25"
"13","50","false","1","1"
"1","50","false","10","25"
"15","50","false","8","25"
"13","50","false","2","6"
"16","50","false","2","7"
"14","50","false","10","25"
"13","50","false","3","11"
"15","50","false","9","25"
"13","50","false","4","16"
"16","50","false","3","12"
"15","50","false","10","25"
"13","50","false","5","21"
"16","50","false","4","17"
"13","50","false","6","24"
"13","50","false","7","24"
"13","50","false","8","24"
