"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"Start-Network-5"
"05/22/2015 13:05:17:963 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","sum [score] of profiles6"
"7","50","false","0","0"
"2","50","false","0","0"
"6","50","false","0","0"
"4","50","false","0","0"
"5","50","false","0","0"
"8","50","false","0","0"
"1","50","false","0","0"
"3","50","false","0","0"
"7","50","false","1","1"
"7","50","false","2","3"
"2","50","false","1","4"
"7","50","false","3","6"
"7","50","false","4","7"
"7","50","false","5","10"
"2","50","false","2","5"
"7","50","false","6","15"
"2","50","false","3","7"
"7","50","false","7","16"
"2","50","false","4","8"
"8","50","false","1","1"
"7","50","false","8","18"
"6","50","false","1","3"
"2","50","false","5","11"
"7","50","false","9","22"
"2","50","false","6","13"
"6","50","false","2","5"
"7","50","false","10","25"
"8","50","false","2","2"
"2","50","false","7","17"
"4","50","false","1","2"
"3","50","false","1","1"
"6","50","false","3","8"
"5","50","false","1","3"
"8","50","false","3","5"
"2","50","false","8","20"
"4","50","false","2","6"
"3","50","false","2","3"
"6","50","false","4","10"
"8","50","false","4","9"
"5","50","false","2","6"
"2","50","false","9","22"
"4","50","false","3","10"
"3","50","false","3","4"
"1","50","false","1","3"
"6","50","false","5","14"
"8","50","false","5","12"
"2","50","false","10","25"
"5","50","false","3","9"
"3","50","false","4","6"
"4","50","false","4","14"
"8","50","false","6","16"
"1","50","false","2","4"
"6","50","false","6","16"
"5","50","false","4","11"
"3","50","false","5","9"
"4","50","false","5","16"
"1","50","false","3","6"
"8","50","false","7","18"
"6","50","false","7","20"
"5","50","false","5","13"
"3","50","false","6","12"
"4","50","false","6","18"
"1","50","false","4","8"
"8","50","false","8","21"
"6","50","false","8","22"
"5","50","false","6","17"
"3","50","false","7","14"
"4","50","false","7","21"
"1","50","false","5","11"
"8","50","false","9","23"
"5","50","false","7","18"
"6","50","false","9","24"
"3","50","false","8","17"
"4","50","false","8","22"
"1","50","false","6","15"
"8","50","false","10","25"
"3","50","false","9","21"
"5","50","false","8","21"
"6","50","false","10","25"
"4","50","false","9","23"
"9","50","false","0","0"
"1","50","false","7","16"
"3","50","false","10","25"
"5","50","false","9","24"
"9","50","false","1","4"
"4","50","false","10","25"
"1","50","false","8","18"
"5","50","false","10","25"
"9","50","false","2","6"
"1","50","false","9","20"
"9","50","false","3","8"
"9","50","false","4","10"
"1","50","false","10","25"
"10","50","false","0","0"
"9","50","false","5","11"
"9","50","false","6","13"
"10","50","false","1","1"
"9","50","false","7","17"
"10","50","false","2","2"
"11","50","false","0","0"
"9","50","false","8","20"
"10","50","false","3","4"
"12","50","false","0","0"
"11","50","false","1","2"
"9","50","false","9","23"
"10","50","false","4","8"
"12","50","false","1","4"
"13","50","false","0","0"
"11","50","false","2","4"
"14","50","false","0","0"
"10","50","false","5","10"
"9","50","false","10","25"
"12","50","false","2","6"
"13","50","false","1","4"
"11","50","false","3","8"
"14","50","false","1","1"
"10","50","false","6","13"
"12","50","false","3","8"
"13","50","false","2","5"
"15","50","false","0","0"
"11","50","false","4","13"
"14","50","false","2","4"
"13","50","false","3","7"
"10","50","false","7","15"
"12","50","false","4","12"
"15","50","false","1","2"
"14","50","false","3","6"
"11","50","false","5","14"
"13","50","false","4","7"
"15","50","false","2","3"
"10","50","false","8","18"
