"export-plot data (NetLogo 5.1.0)"
"Simulator.nlogo"
"05/11/2015 15:59:09:518 -0400"

"MODEL SETTINGS"
"random-seed?","the-random-seed"
"false","0"

"""Mean Utility vs Ticks"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","63.8","true","""default""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","300"
"""pen-1""","true","0","1","105","300"
"""pen-2""","true","0","1","5","300"

"""default""",,,,"""pen-1""",,,,"""pen-2"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0.47","15","true","0","0","105","true","0","0.235","5","true"
"1","0.95","15","true","1","0","105","true","1","0.475","5","true"
"2","1.44","15","true","2","0","105","true","2","0.72","5","true"
"3","1.91","15","true","3","0","105","true","3","0.955","5","true"
"4","2.4","15","true","4","0","105","true","4","1.2","5","true"
"5","2.89","15","true","5","0","105","true","5","1.445","5","true"
"6","2.89","15","true","6","0.47","105","true","6","1.68","5","true"
"7","2.89","15","true","7","0.89","105","true","7","1.89","5","true"
"8","2.89","15","true","8","1.37","105","true","8","2.13","5","true"
"9","3.33","15","true","9","1.37","105","true","9","2.35","5","true"
"10","3.33","15","true","10","1.37","105","true","10","2.35","5","true"
"11","3.82","15","true","11","1.37","105","true","11","2.595","5","true"
"12","4.28","15","true","12","1.37","105","true","12","2.825","5","true"
"13","4.28","15","true","13","1.86","105","true","13","3.07","5","true"
"14","4.78","15","true","14","1.86","105","true","14","3.32","5","true"
"15","5.23","15","true","15","1.86","105","true","15","3.545","5","true"
"16","5.23","15","true","16","1.86","105","true","16","3.545","5","true"
"17","5.23","15","true","17","2.35","105","true","17","3.79","5","true"
"18","5.23","15","true","18","2.85","105","true","18","4.04","5","true"
"19","5.23","15","true","19","2.85","105","true","19","4.04","5","true"
"20","5.23","15","true","20","3.3","105","true","20","4.265","5","true"
"21","5.71","15","true","21","3.3","105","true","21","4.505","5","true"
"22","5.71","15","true","22","3.78","105","true","22","4.745","5","true"
"23","5.71","15","true","23","3.78","105","true","23","4.745","5","true"
"24","5.71","15","true","24","4.25","105","true","24","4.98","5","true"
"25","5.71","15","true","25","4.73","105","true","25","5.22","5","true"
"26","6.19","15","true","26","4.73","105","true","26","5.46","5","true"
"27","6.19","15","true","27","5.23","105","true","27","5.71","5","true"
"28","6.54","15","true","28","5.23","105","true","28","5.885","5","true"
"29","7.03","15","true","29","5.23","105","true","29","6.13","5","true"
"30","7.03","15","true","30","5.68","105","true","30","6.355","5","true"
"31","7.5","15","true","31","5.68","105","true","31","6.59","5","true"
