Average of [score] of user,Column Labels,,
Row Labels,{breed stock-neural-profiles},{breed stock-peer-similarity-profiles},Grand Total
1,2.444,2.434,2.439
2,5.384,5.408,5.396
3,8.648,8.61,8.629
4,12.074,11.916,11.995
5,15.56,15.352,15.456
6,19.12,18.78,18.95
7,22.448,22.18,22.314
8,25.758,25.446,25.602
9,28.912,28.564,28.738
10,31.904,31.494,31.699
11,34.798,34.24,34.519
12,37.65,36.948,37.299
13,40.174,39.45,39.812
14,42.594,41.798,42.196
15,44.906,43.864,44.385
16,46.828,45.528,46.178
17,48.302,46.936,47.619
18,49.292,47.876,48.584
19,49.816,48.12,48.968
20,49.43,47.614,48.522
21,49.13,47.314,48.222
22,48.83,47.014,47.922
23,48.53,46.714,47.622
24,48.23,46.414,47.322
25,47.93,46.114,47.022
26,47.63,45.814,46.722
27,47.33,45.514,46.422
28,47.03,45.214,46.122
29,46.73,44.86713427,45.7994995
30,46.43,44.56713427,45.4994995
Grand Total,36.4614,35.40223363,35.93185212
