Average of [turn-payoff] of user,Column Labels,,
Row Labels,{breed stock-neural-profiles},{breed stock-peer-similarity-profiles},Grand Total
1,6.576,6.628,6.602
2,6.92,6.864,6.892
3,6.898,6.88,6.889
4,6.882,6.932,6.907
5,6.91,6.952,6.931
6,6.874,6.91,6.892
7,6.83,6.892,6.861
8,6.9,6.878,6.889
9,6.81,6.892,6.851
10,6.84,6.77,6.805
11,6.7,6.82,6.76
12,6.592,6.592,6.592
13,6.564,6.534,6.549
14,6.594,6.594,6.594
15,6.512,6.61,6.561
16,6.518,6.568,6.543
17,6.526,6.48,6.503
18,6.354,6.36,6.357
19,5.902,5.972,5.937
20,4.64,4.666,4.653
21,0.3,0.3,0.3
Grand Total,6.268666667,6.290190476,6.279428571
