Average of [score] of user,Column Labels,,
Row Labels,{breed stock-neural-profiles},{breed stock-peer-similarity-profiles},Grand Total
1,5.297886899,5.279826944,5.288856467
2,8.934860475,8.907604286,8.921225998
3,8.744614681,8.568301026,8.656337063
4,7.602775888,7.11018291,7.356865417
5,6.391568417,5.337122558,5.862842893
6,5.155980367,3.349080549,4.253698914
7,3.972631579,1.283903253,2.621789231
8,2.786311787,-0.871650629,0.932633158
9,1.402279202,-2.838011696,-0.69033189
10,-0.402597403,-5.090909091,-2.746753247
Grand Total,6.83677067,6.14893745,6.49259876
