Average of [turn-payoff] of user,Column Labels,,
Row Labels,{breed stock-neural-profiles},{breed stock-peer-similarity-profiles},Grand Total
1,5.348,5.216,5.282
2,3.816,3.766,3.791
3,0.4,0.176,0.288
4,-0.988,-1.044,-1.016
5,-1.478,-1.608,-1.543
6,-1.414,-1.828,-1.621
7,-1.56,-2.012,-1.786
8,-1.564,-2.06,-1.812
9,-1.676,-2.094,-1.885
10,-1.732,-2.134,-1.933
11,-1.742,-2.132,-1.937
12,-1.824,-2.178,-2.001
13,-1.916,-2.162,-2.039
14,-1.96,-2.152,-2.056
15,-2,-2.164,-2.082
Grand Total,-0.686,-0.960666667,-0.823333333
