Average of [turn-payoff] of user,Column Labels,,
Row Labels,{breed stock-document-popularity-profiles},{breed stock-viral-profiles},Grand Total
1,6.664618771,27.70695348,10.17196698
2,-2.684158813,18.61381381,0.870247244
3,-2.7,12.20977823,-0.212320242
4,-2.7,8.327850078,-0.87516582
5,-2.7,5.687424492,-1.316029358
6,-2.7,4.16453202,-1.593169182
7,-2.7,2.858491896,-1.799600457
8,-2.7,2.401604278,-1.890038206
9,-2.7,1.908695652,-1.958058574
10,-2.7,1.535015773,-2.020940819
11,-2.7,1.160696517,-2.113675859
12,-2.7,1.022222222,-2.136298077
13,-2.7,1,-2.138827098
Grand Total,-1.568911598,9.887962963,0.304279241
