Average of [score] of user,Column Labels,,
Row Labels,{breed stock-document-popularity-profiles},{breed stock-viral-profiles},Grand Total
1,5.201360544,19.545,7.592764255
2,10.22838244,32.53433584,13.94510983
3,15.32510857,39.92938197,19.41511579
4,20.4680701,44.80692149,24.53750756
5,25.60520004,48.5610687,29.43013537
6,30.74540264,51.14619952,34.14991577
7,35.84402637,52.96005435,38.7221156
8,40.87387934,54.68525122,43.2515625
9,45.80165017,55.27090719,47.45154433
10,50.59590951,56.29957204,51.61379837
11,55.20774908,56.79565217,55.48569254
12,59.67434944,57.46956522,59.29895126
13,64.05869018,57.80522876,63.04836325
Grand Total,25.75862634,43.97981772,28.82605303
