Average of [turn-payoff] of user,Column Labels,,
Row Labels,{breed attack-profiles},{breed random-profiles},Grand Total
1,107.4395,1.383329998,19.06820077
2,111.7626566,1.018036072,19.46776618
3,121.0012588,0.718516272,20.82638889
4,115.0835921,0.583203813,19.68142968
5,116.6697548,0.456075175,19.8655684
6,110.8141831,0.38015249,18.71450571
7,108.9486301,0.382603323,18.51212398
8,104.0657673,0.348262032,17.50432357
9,87.51434879,0.32851554,14.67214454
10,87.7492236,0.325849515,14.61535533
11,74.57900943,0.199861687,12.36212881
12,74.07224335,0.21791153,12.04719854
13,72.17832168,0.174907293,10.99054622
Grand Total,108.2070234,0.63472017,18.49808141
