Average of [turn-payoff] of user,Column Labels,,
Row Labels,{breed stock-document-popularity-profiles},{breed stock-viral-profiles},Grand Total
1,7.279,0.147,6.090333333
2,-2.678953698,-0.186960883,-2.263899098
3,-2.7,-0.2,-2.284069308
4,-2.7,-0.2,-2.285879012
5,-2.7,-0.2,-2.288317926
6,-2.7,-0.2,-2.285569469
7,-2.7,-0.2,-2.290676521
8,-2.7,-0.2,-2.28350789
9,-2.7,-0.2,-2.28714338
10,-2.7,-0.2,-2.275773064
11,-2.7,-0.2,-2.282375479
12,-2.7,-0.2,-2.300366077
13,-2.7,-0.2,-2.302577873
14,-2.7,-0.2,-2.304007634
15,-2.7,-0.2,-2.296153846
Grand Total,-1.499894391,-0.156503353,-1.277253477
