"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"1","50","false","0","{breed attack-profiles}","1","0","0"
"1","50","false","1","{breed random-profiles}","1","1","1"
"1","50","false","2","{breed attack-profiles}","1","2","2"
"1","50","false","3","{breed attack-profiles}","2","0","2"
"1","50","false","4","{breed attack-profiles}","2","2","2"
"1","50","false","5","{breed random-profiles}","2","1","2"
"1","50","false","6","{breed attack-profiles}","3","2","4"
"1","50","false","7","{breed attack-profiles}","3","2","4"
"1","50","false","8","{breed random-profiles}","1","-1","-1"
"1","50","false","9","{breed attack-profiles}","4","3","7"
"1","50","false","10","{breed attack-profiles}","4","3","7"
"1","50","false","11","{breed random-profiles}","2","1","0"
"1","50","false","12","{breed random-profiles}","3","-1","-1"
"1","50","false","13","{breed random-profiles}","3","3","5"
"1","50","false","14","{breed random-profiles}","4","-1","-2"
"1","50","false","15","{breed random-profiles}","5","3","1"
"1","50","false","16","{breed attack-profiles}","5","7","14"
"1","50","false","17","{breed attack-profiles}","6","0","14"
"1","50","false","18","{breed random-profiles}","4","-3","2"
"1","50","false","19","{breed attack-profiles}","7","2","16"
"1","50","false","20","{breed random-profiles}","6","-1","0"
"1","50","false","21","{breed random-profiles}","7","-1","-1"
"1","50","false","22","{breed attack-profiles}","8","4","20"
"1","50","false","23","{breed random-profiles}","8","-1","-2"
"1","50","false","24","{breed random-profiles}","5","1","3"
"1","50","false","25","{breed attack-profiles}","9","3","23"
"1","50","false","26","{breed random-profiles}","6","-3","0"
"1","50","false","27","{breed attack-profiles}","10","2","25"
"1","50","false","28","{breed attack-profiles}","11","0","25"
"1","50","false","29","{breed attack-profiles}","5","26","33"
"1","50","false","30","{breed random-profiles}","9","-1","-3"
"1","50","false","31","{breed attack-profiles}","6","3","36"
"1","50","false","32","{breed random-profiles}","7","-3","-3"
"1","50","false","33","{breed attack-profiles}","7","2","38"
"1","50","false","34","{breed attack-profiles}","8","0","38"
"1","50","false","35","{breed random-profiles}","10","-1","-4"
"1","50","false","36","{breed attack-profiles}","9","3","41"
"1","50","false","37","{breed random-profiles}","8","-1","-4"
"1","50","false","38","{breed random-profiles}","9","-3","-7"
"1","50","false","39","{breed random-profiles}","10","-3","-10"
"1","50","false","40","{breed attack-profiles}","12","19","44"
"1","50","false","41","{breed random-profiles}","11","-1","-11"
"1","50","false","42","{breed attack-profiles}","10","12","53"
"1","50","false","43","{breed attack-profiles}","11","0","53"
"1","50","false","44","{breed random-profiles}","11","-3","-7"
"1","50","false","45","{breed random-profiles}","12","-1","-8"
"1","50","false","46","{breed random-profiles}","13","0","-8"
"1","50","false","47","{breed random-profiles}","12","1","-10"
"1","50","false","48","{breed random-profiles}","14","0","-8"
"1","50","false","49","{breed random-profiles}","15","0","-8"
"1","50","false","50","{breed attack-profiles}","12","7","60"
"2","50","false","0","{breed random-profiles}","1","-1","-1"
"2","50","false","1","{breed attack-profiles}","1","0","0"
"2","50","false","2","{breed attack-profiles}","1","0","0"
"2","50","false","3","{breed random-profiles}","2","1","0"
"2","50","false","4","{breed random-profiles}","3","-5","-5"
"2","50","false","5","{breed random-profiles}","1","-3","-3"
"2","50","false","6","{breed attack-profiles}","2","9","9"
"2","50","false","7","{breed random-profiles}","2","-1","-4"
"2","50","false","8","{breed attack-profiles}","2","12","12"
"2","50","false","9","{breed random-profiles}","4","-3","-8"
"2","50","false","10","{breed random-profiles}","3","-1","-5"
"2","50","false","11","{breed random-profiles}","5","1","-7"
"2","50","false","12","{breed attack-profiles}","3","7","19"
"2","50","false","13","{breed attack-profiles}","4","0","19"
"2","50","false","14","{breed random-profiles}","6","1","-6"
"2","50","false","15","{breed random-profiles}","7","1","-5"
"2","50","false","16","{breed attack-profiles}","5","2","21"
"2","50","false","17","{breed random-profiles}","4","-3","-8"
"2","50","false","18","{breed attack-profiles}","6","2","23"
"2","50","false","19","{breed random-profiles}","5","3","-5"
"2","50","false","20","{breed attack-profiles}","3","19","28"
"2","50","false","21","{breed random-profiles}","6","-3","-8"
"2","50","false","22","{breed random-profiles}","7","1","-7"
"2","50","false","23","{breed random-profiles}","8","-1","-8"
"2","50","false","24","{breed random-profiles}","9","1","-7"
"2","50","false","25","{breed attack-profiles}","7","10","33"
"2","50","false","26","{breed random-profiles}","10","1","-6"
"2","50","false","27","{breed attack-profiles}","8","2","35"
"2","50","false","28","{breed attack-profiles}","9","0","35"
"2","50","false","29","{breed attack-profiles}","4","11","39"
"2","50","false","30","{breed random-profiles}","11","-1","-7"
"2","50","false","31","{breed attack-profiles}","5","3","42"
"2","50","false","32","{breed random-profiles}","8","1","-4"
"2","50","false","33","{breed attack-profiles}","10","3","38"
"2","50","false","34","{breed random-profiles}","9","-3","-7"
"2","50","false","35","{breed random-profiles}","10","-1","-8"
"2","50","false","36","{breed attack-profiles}","6","7","49"
"2","50","false","37","{breed attack-profiles}","7","0","49"
"2","50","false","38","{breed attack-profiles}","11","5","43"
"2","50","false","39","{breed attack-profiles}","8","0","49"
"2","50","false","40","{breed attack-profiles}","12","0","43"
"2","50","false","41","{breed random-profiles}","12","-3","-10"
"2","50","false","42","{breed random-profiles}","11","1","-7"
"2","50","false","43","{breed attack-profiles}","13","4","47"
"2","50","false","44","{breed attack-profiles}","9","4","53"
"2","50","false","45","{breed attack-profiles}","14","0","47"
"2","50","false","46","{breed attack-profiles}","15","0","47"
"2","50","false","47","{breed random-profiles}","13","-3","-13"
"2","50","false","48","{breed random-profiles}","12","-3","-10"
"2","50","false","49","{breed attack-profiles}","16","5","52"
"2","50","false","50","{breed random-profiles}","14","-1","-14"
"3","50","false","0","{breed attack-profiles}","1","0","0"
"3","50","false","1","{breed random-profiles}","1","-1","-1"
"3","50","false","2","{breed random-profiles}","1","3","3"
"3","50","false","3","{breed random-profiles}","2","-1","-2"
"3","50","false","4","{breed attack-profiles}","2","4","4"
"3","50","false","5","{breed random-profiles}","2","1","4"
"3","50","false","6","{breed random-profiles}","3","1","5"
"3","50","false","7","{breed attack-profiles}","1","8","8"
"3","50","false","8","{breed attack-profiles}","2","0","8"
"3","50","false","9","{breed attack-profiles}","3","2","6"
"3","50","false","10","{breed random-profiles}","4","-1","4"
"3","50","false","11","{breed random-profiles}","5","-3","1"
"3","50","false","12","{breed random-profiles}","6","-3","-2"
"3","50","false","13","{breed attack-profiles}","4","9","15"
"3","50","false","14","{breed random-profiles}","7","-3","-5"
"3","50","false","15","{breed attack-profiles}","3","13","21"
"3","50","false","16","{breed random-profiles}","3","-3","-5"
"3","50","false","17","{breed random-profiles}","8","3","-2"
"3","50","false","18","{breed attack-profiles}","5","7","22"
"3","50","false","19","{breed random-profiles}","4","-1","-6"
"3","50","false","20","{breed attack-profiles}","4","6","27"
"3","50","false","21","{breed random-profiles}","9","-3","-5"
"3","50","false","22","{breed attack-profiles}","6","5","27"
"3","50","false","23","{breed attack-profiles}","7","0","27"
"3","50","false","24","{breed attack-profiles}","8","0","27"
"3","50","false","25","{breed random-profiles}","10","-3","-8"
"3","50","false","26","{breed attack-profiles}","9","2","29"
"3","50","false","27","{breed attack-profiles}","5","6","33"
"3","50","false","28","{breed random-profiles}","5","-1","-7"
"3","50","false","29","{breed attack-profiles}","6","3","36"
"3","50","false","30","{breed random-profiles}","6","-1","-8"
"3","50","false","31","{breed random-profiles}","11","1","-7"
"3","50","false","32","{breed attack-profiles}","10","6","35"
"3","50","false","33","{breed attack-profiles}","7","3","39"
"3","50","false","34","{breed random-profiles}","7","-1","-9"
"3","50","false","35","{breed random-profiles}","12","-3","-10"
"3","50","false","36","{breed random-profiles}","13","-3","-13"
"3","50","false","37","{breed random-profiles}","14","0","-13"
"3","50","false","38","{breed attack-profiles}","8","8","47"
"3","50","false","39","{breed attack-profiles}","11","8","43"
"3","50","false","40","{breed attack-profiles}","9","0","47"
"3","50","false","41","{breed attack-profiles}","12","0","43"
"3","50","false","42","{breed attack-profiles}","10","0","47"
"3","50","false","43","{breed random-profiles}","8","-1","-10"
"3","50","false","44","{breed random-profiles}","9","-3","-13"
"3","50","false","45","{breed random-profiles}","10","-1","-14"
"3","50","false","46","{breed random-profiles}","11","3","-11"
"3","50","false","47","{breed random-profiles}","15","-2","-15"
"3","50","false","48","{breed attack-profiles}","13","11","54"
"3","50","false","49","{breed attack-profiles}","11","11","58"
"3","50","false","50","{breed random-profiles}","12","1","-10"
"4","50","false","0","{breed random-profiles}","1","3","3"
"4","50","false","1","{breed random-profiles}","2","1","4"
"4","50","false","2","{breed random-profiles}","1","1","1"
"4","50","false","3","{breed attack-profiles}","1","2","2"
"4","50","false","4","{breed random-profiles}","3","-1","3"
"4","50","false","5","{breed attack-profiles}","2","3","5"
"4","50","false","6","{breed attack-profiles}","1","5","5"
"4","50","false","7","{breed random-profiles}","2","-1","0"
"4","50","false","8","{breed attack-profiles}","2","3","8"
"4","50","false","9","{breed attack-profiles}","3","3","8"
"4","50","false","10","{breed random-profiles}","3","-1","-1"
"4","50","false","11","{breed random-profiles}","4","-1","-2"
"4","50","false","12","{breed random-profiles}","5","-3","-5"
"4","50","false","13","{breed random-profiles}","6","1","-4"
"4","50","false","14","{breed attack-profiles}","4","10","18"
"4","50","false","15","{breed attack-profiles}","5","0","18"
"4","50","false","16","{breed random-profiles}","7","3","-1"
"4","50","false","17","{breed random-profiles}","8","-3","-4"
"4","50","false","18","{breed random-profiles}","9","1","-3"
"4","50","false","19","{breed random-profiles}","4","-1","2"
"4","50","false","20","{breed attack-profiles}","6","8","26"
"4","50","false","21","{breed random-profiles}","10","1","-2"
"4","50","false","22","{breed attack-profiles}","3","22","30"
"4","50","false","23","{breed random-profiles}","11","-3","-5"
"4","50","false","24","{breed random-profiles}","12","0","-5"
"4","50","false","25","{breed random-profiles}","5","1","3"
"4","50","false","26","{breed random-profiles}","13","0","-5"
"4","50","false","27","{breed attack-profiles}","7","6","32"
"4","50","false","28","{breed random-profiles}","6","-3","0"
"4","50","false","29","{breed random-profiles}","7","-3","-3"
"4","50","false","30","{breed random-profiles}","14","-1","-6"
"4","50","false","31","{breed random-profiles}","15","0","-6"
"4","50","false","32","{breed attack-profiles}","8","7","39"
"4","50","false","33","{breed random-profiles}","16","-1","-7"
"4","50","false","34","{breed attack-profiles}","9","1","40"
"4","50","false","35","{breed attack-profiles}","10","0","40"
"4","50","false","36","{breed random-profiles}","17","0","-7"
"4","50","false","37","{breed attack-profiles}","11","0","40"
"4","50","false","38","{breed random-profiles}","18","0","-7"
"4","50","false","39","{breed attack-profiles}","4","14","44"
"4","50","false","40","{breed random-profiles}","19","-1","-8"
"4","50","false","41","{breed random-profiles}","8","-5","-8"
"4","50","false","42","{breed random-profiles}","20","0","-8"
"4","50","false","43","{breed random-profiles}","9","-3","-11"
