"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 15:15:18:527 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user","length [children] of user"
"1","50","false","0","{breed random-profiles}","1","-1","-1","1"
"1","50","false","1","{breed random-profiles}","2","3","2","1"
"1","50","false","2","{breed random-profiles}","3","1","3","1"
"1","50","false","3","{breed random-profiles}","1","1","1","1"
"1","50","false","4","{breed random-profiles}","4","1","4","1"
"1","50","false","5","{breed random-profiles}","2","-1","0","1"
"1","50","false","6","{breed attack-profiles}","1","8","8","2"
"1","50","false","7","{breed attack-profiles}","1","8","8","2"
"1","50","false","8","{breed random-profiles}","3","-1","-1","1"
"1","50","false","9","{breed random-profiles}","5","-1","3","1"
"1","50","false","10","{breed attack-profiles}","2","4","12","3"
"1","50","false","11","{breed random-profiles}","6","-3","0","1"
"1","50","false","12","{breed random-profiles}","7","-1","-1","1"
"1","50","false","13","{breed random-profiles}","8","1","0","1"
"1","50","false","14","{breed random-profiles}","9","-1","-1","1"
"1","50","false","15","{breed random-profiles}","4","-1","-2","1"
"1","50","false","16","{breed attack-profiles}","2","19","27","3"
"1","50","false","17","{breed attack-profiles}","3","0","27","3"
"1","50","false","18","{breed random-profiles}","5","-1","-3","1"
"1","50","false","19","{breed random-profiles}","6","3","0","1"
"1","50","false","20","{breed attack-profiles}","3","17","29","4"
"1","50","false","21","{breed random-profiles}","10","-3","-4","1"
"1","50","false","22","{breed attack-profiles}","4","6","33","4"
"1","50","false","23","{breed attack-profiles}","5","0","33","4"
"1","50","false","24","{breed attack-profiles}","4","2","31","5"
"1","50","false","25","{breed attack-profiles}","5","0","31","5"
"1","50","false","26","{breed random-profiles}","7","-5","-5","1"
"1","50","false","27","{breed attack-profiles}","6","3","34","6"
"1","50","false","28","{breed random-profiles}","8","-1","-6","1"
"1","50","false","29","{breed attack-profiles}","6","6","39","5"
"1","50","false","30","{breed random-profiles}","11","-3","-7","1"
"1","50","false","31","{breed attack-profiles}","7","5","39","7"
"1","50","false","32","{breed random-profiles}","9","-1","-7","1"
"1","50","false","33","{breed random-profiles}","10","-1","-8","1"
"1","50","false","34","{breed attack-profiles}","8","4","43","8"
"1","50","false","35","{breed attack-profiles}","7","8","47","6"
"1","50","false","36","{breed random-profiles}","12","-5","-12","1"
"1","50","false","37","{breed attack-profiles}","9","3","46","9"
"1","50","false","38","{breed random-profiles}","11","-3","-11","1"
"1","50","false","39","{breed random-profiles}","13","-1","-13","1"
"1","50","false","40","{breed attack-profiles}","8","9","56","7"
"1","50","false","41","{breed random-profiles}","12","-3","-14","1"
"1","50","false","42","{breed attack-profiles}","9","2","58","8"
"1","50","false","43","{breed random-profiles}","13","-1","-15","1"
"1","50","false","44","{breed random-profiles}","14","-2","-15","1"
"1","50","false","45","{breed attack-profiles}","10","13","59","10"
"1","50","false","46","{breed attack-profiles}","10","3","61","9"
"1","50","false","47","{breed attack-profiles}","11","0","61","9"
"1","50","false","48","{breed random-profiles}","14","-2","-17","1"
"1","50","false","49","{breed attack-profiles}","12","2","63","9"
"1","50","false","50","{breed random-profiles}","15","0","-17","1"
"2","50","false","0","{breed random-profiles}","1","1","1","1"
"2","50","false","1","{breed attack-profiles}","1","0","0","1"
"2","50","false","2","{breed attack-profiles}","2","0","0","1"
"2","50","false","3","{breed attack-profiles}","3","0","0","1"
"2","50","false","4","{breed random-profiles}","2","1","2","1"
"2","50","false","5","{breed random-profiles}","3","1","3","1"
"2","50","false","6","{breed attack-profiles}","4","2","2","2"
"2","50","false","7","{breed attack-profiles}","5","0","2","2"
"2","50","false","8","{breed random-profiles}","1","-1","-1","1"
"2","50","false","9","{breed random-profiles}","2","3","2","1"
"2","50","false","10","{breed attack-profiles}","6","2","4","3"
"2","50","false","11","{breed random-profiles}","4","-1","2","1"
"2","50","false","12","{breed random-profiles}","3","-1","1","1"
"2","50","false","13","{breed attack-profiles}","1","12","12","2"
"2","50","false","14","{breed random-profiles}","4","1","2","1"
"2","50","false","15","{breed attack-profiles}","2","2","14","2"
"2","50","false","16","{breed random-profiles}","5","1","3","1"
